"","V1"
"X2020.02.26",0.0348997590763475
"X2020.02.26.1",0.0268666182238625
"X2020.02.26.2",0.00735445428672026
"X2020.02.26.3",0.0252041583216916
"X2020.02.26.4",0.0530794225891894
"X2020.02.26.5",0.0447808873583578
"X2020.02.26.6",0.0427692677752563
"X2020.02.26.7",0.0132893168432976
"X2020.02.26.8",0.0093475514072174
"X2020.02.26.9",0.0831260595139835
"X2020.02.26.10",0.0894859173567738
"X2020.02.26.11",0.0329075983793929
"X2020.02.26.12",0.0374473527763117
"X2020.02.26.13",0.0298355706840733
"X2020.02.26.14",0.0295049033864678
"X2020.02.26.15",0.0749451334287691
"X2020.02.26.16",0.00135930034966913
"X2020.02.26.17",0.00448675805614934
"X2020.02.26.18",0.00349539812325874
"X2020.02.26.19",0.00042923673667733
"X2020.02.26.20",0.0158637470566374
"X2020.02.26.21",0.0796943299602357
"X2020.02.27",0.200451858145633
"X2020.02.27.1",0.0220109981300029
"X2020.02.27.2",0.00445511049568038
"X2020.02.27.3",0.0225621026042147
"X2020.02.27.4",0.0096907893569398
"X2020.02.27.5",0.0103514872870865
"X2020.02.27.6",0.0139578301450718
"X2020.02.27.7",0.0127918025526947
"X2020.02.27.8",0.0581463926992314
"X2020.02.27.9",0.0114760709596841
"X2020.02.27.10",0.012413829760878
"X2020.02.27.11",0.0180394652701939
"X2020.02.27.12",0.0077609589798326
"X2020.02.27.13",0.0118735126486132
"X2020.02.27.14",0.0177417443993537
"X2020.02.27.15",0.0120403251226775
"X2020.02.27.16",0.00557093613539061
"X2020.02.27.17",0.00121978004986452
"X2020.02.27.18",0.0100134089769867
"X2020.02.27.19",0.0347782404963438
"X2020.02.27.20",0.000956792709966566
"X2020.02.27.21",0.0109000663460799
"X2020.02.27.22",0.0470308388338852
"X2020.02.27.23",0.1196738760983
"X2020.02.28",0.0414823087107473
"X2020.02.28.1",0.00331549977963951
"X2020.02.28.2",0.0325830226836513
"X2020.02.28.3",0.010513495456941
"X2020.02.28.4",0.0378203195522847
"X2020.02.28.5",0.0087785538575991
"X2020.02.28.6",0.00095372791369359
"X2020.02.28.7",0.0275839717614683
"X2020.02.28.8",0.0366303950426663
"X2020.02.28.9",0.0215479730373172
"X2020.02.28.10",0.0185704372640428
"X2020.02.28.11",0.044653402992086
"X2020.02.28.12",0.0300751208634777
"X2020.02.28.13",0.0110149279123738
"X2020.02.28.14",0.0153906535401109
"X2020.02.28.15",0.0189168122771758
"X2020.02.28.16",0.0140242475274422
"X2020.02.28.17",0.0560189398183733
"X2020.02.28.18",0.0120517004989585
"X2020.02.28.19",0.011984106827545
"X2020.02.28.20",0.00465959510866476
"X2020.02.28.21",0.0111823965432805
"X2020.02.28.22",0.0149635052701039
"X2020.02.28.23",0.000159297959429588
"X2020.02.29",0.150796980935623
"X2020.02.29.1",0.0414339384560997
"X2020.02.29.2",0.0184170707425199
"X2020.02.29.3",0.00491667449126431
"X2020.02.29.4",0.0215098509569047
"X2020.02.29.5",0.00739779894688426
"X2020.02.29.6",0.00271919874716077
"X2020.02.29.7",0.0258404786939895
"X2020.02.29.8",0.0138827232182574
"X2020.02.29.9",0.00961832936264993
"X2020.02.29.10",0.00563381001462404
"X2020.02.29.11",0.0100078788311316
"X2020.02.29.12",0.0233034841463671
"X2020.02.29.13",0.0316017512301342
"X2020.02.29.14",0.0187396315110417
"X2020.02.29.15",0.0338483684130278
"X2020.02.29.16",0.0042782381107441
"X2020.02.29.17",0.00480039590036313
"X2020.02.29.18",0.0112273812498023
"X2020.02.29.19",0.00176859637002598
"X2020.02.29.20",0.0339301092570783
"X2020.02.29.21",0.00425533817001616
"X2020.02.29.22",0.0152660694225149
"X2020.02.29.23",0.0206335120540978
"X2020.03.01",0.023086486395714
"X2020.03.01.1",0.00911824939451133
"X2020.03.01.2",0.0355701060383068
"X2020.03.01.3",0.000506588861886088
"X2020.03.01.4",0.0250292200779527
"X2020.03.01.5",0.0424696672710004
"X2020.03.01.6",0.0302294531748497
"X2020.03.01.7",0.00723452925920754
"X2020.03.01.8",0.00367615229279222
"X2020.03.01.9",0.000641614050921104
"X2020.03.01.10",0.0177362580031276
"X2020.03.01.11",0.00230073555958868
"X2020.03.01.12",0.0391041403599203
"X2020.03.01.13",0.0360471544233446
"X2020.03.01.14",0.0279226510140264
"X2020.03.01.15",0.0180154158211778
"X2020.03.01.16",0.00744472045284323
"X2020.03.01.17",0.0214926434490942
"X2020.03.01.18",0.0107308718319594
"X2020.03.01.19",0.0104733066153857
"X2020.03.01.20",0.025550375177084
"X2020.03.01.21",0.00534361580398483
"X2020.03.01.22",0.0123705369959138
"X2020.03.01.23",0.0921754475198085
"X2020.03.02",0.214598606673188
"X2020.03.02.1",0.0212028536128558
"X2020.03.02.2",0.0383108319809663
"X2020.03.02.3",0.0230894142702568
"X2020.03.02.4",0.00215219819249012
"X2020.03.02.5",0.00089389415618164
"X2020.03.02.6",0.00857462420734321
"X2020.03.02.7",0.0267926791232647
"X2020.03.02.8",0.0390312665427379
"X2020.03.02.9",0.0197107995304532
"X2020.03.02.10",0.00582744612454761
"X2020.03.02.11",0.0301781684705739
"X2020.03.02.12",0.000853441913913845
"X2020.03.02.13",0.00825060314365232
"X2020.03.02.14",0.000472447728811694
"X2020.03.02.15",0.00834629150152853
"X2020.03.02.16",0.0187448695811406
"X2020.03.02.17",0.000649854372100368
"X2020.03.02.18",0.00965253785860149
"X2020.03.02.19",0.0084072850230113
"X2020.03.02.20",0.0208812574784236
"X2020.03.02.21",0.0294554289155494
"X2020.03.02.22",0.020796931611049
"X2020.03.02.23",0.00377877919982633
"X2020.03.03",0.0930437182566749
"X2020.03.03.1",0.0139181230015242
"X2020.03.03.2",0.0070862276430534
"X2020.03.03.3",0.00131656653416469
"X2020.03.03.4",0.0116456702926328
"X2020.03.03.5",0.0215099021379004
"X2020.03.03.6",0.0167520585740548
"X2020.03.03.7",0.00967509249565391
"X2020.03.03.8",0.0151302879796689
"X2020.03.03.9",0.00299563882359114
"X2020.03.03.10",0.0245116095046704
"X2020.03.03.11",0.00871657756218068
"X2020.03.03.12",0.0381511788331356
"X2020.03.03.13",0.00504960300317902
"X2020.03.03.14",0.0167763075310203
"X2020.03.03.15",0.015606363663379
"X2020.03.03.16",0.0107207086861062
"X2020.03.03.17",0.0135242964959442
"X2020.03.03.18",0.0310444618489141
"X2020.03.03.19",0.00243911436670677
"X2020.03.03.20",0.0213056874740251
"X2020.03.03.21",0.0223673064554747
"X2020.03.03.22",0.0121209697111786
"X2020.03.03.23",0.0178851898791639
"X2020.03.04",0.114192830426295
"X2020.03.04.1",0.00114005256379789
"X2020.03.04.2",0.00698721109184711
"X2020.03.04.3",0.0125322954330527
"X2020.03.04.4",0.00989321964020121
"X2020.03.04.5",0.0146741023066237
"X2020.03.04.6",0.0136578555525444
"X2020.03.04.7",0.0157430930014563
"X2020.03.04.8",0.0107011899930465
"X2020.03.04.9",0.0631578928702333
"X2020.03.04.10",0.0154803506062203
"X2020.03.04.11",0.0258853868823507
"X2020.03.04.12",0.0154107533189269
"X2020.03.04.13",0.000742319221131562
"X2020.03.04.14",0.000188222849742763
"X2020.03.04.15",0.0258507223643655
"X2020.03.04.16",0.00687511815787763
"X2020.03.04.17",0.00555310256755166
"X2020.03.04.18",0.0143510627357533
"X2020.03.04.19",0.0121636175167067
"X2020.03.04.20",0.0292498034600206
"X2020.03.04.21",0.0124593697748067
"X2020.03.04.22",0.0015890287607071
"X2020.03.04.23",0.00793175606740069
"X2020.03.05",0.0591409545328979
"X2020.03.05.1",0.0275954817234242
"X2020.03.05.2",0.0447555993347621
"X2020.03.05.3",0.00227657977763554
"X2020.03.05.4",0.00814072296443242
"X2020.03.05.5",0.0039835981901768
"X2020.03.05.6",0.0152675749174837
"X2020.03.05.7",0.0186956160902277
"X2020.03.05.8",0.00570004173372713
"X2020.03.05.9",0.0341108865031243
