"","V1"
"X2019.02.25",0.0205779447360899
"X2019.02.25.1",0.028253240025735
"X2019.02.25.2",0.0176708359520971
"X2019.02.25.3",0.0351709694616122
"X2019.02.25.4",0.00883431148487502
"X2019.02.25.5",0.0183211982900385
"X2019.02.25.6",0.0250827611950739
"X2019.02.25.7",0.0161456642808019
"X2019.02.25.8",0.0441291300105077
"X2019.02.25.9",0.0162479091606049
"X2019.02.25.10",0.00374847786679768
"X2019.02.25.11",0.0215511679452401
"X2019.02.25.12",0.0390058109928769
"X2019.02.25.13",0.0125610778684867
"X2019.02.25.14",0.00094136696797008
"X2019.02.25.15",0.0302998262988369
"X2019.02.25.16",0.0369302620051975
"X2019.02.25.17",0.0116050649644077
"X2019.02.25.18",0.00463725281708627
"X2019.02.25.19",0.0166808757832867
"X2019.02.25.20",0.00669640570696303
"X2019.02.25.21",0.0186295732136839
"X2019.02.25.22",0.0122480189236355
"X2019.02.26",0.0523462998995069
"X2019.02.26.1",0.00529603446497511
"X2019.02.26.2",0.00800453858431566
"X2019.02.26.3",0.00614056463860345
"X2019.02.26.4",0.00935982089060097
"X2019.02.26.5",0.000428354926045739
"X2019.02.26.6",0.00699068034226913
"X2019.02.26.7",0.000245462814089199
"X2019.02.26.8",0.0195105988405089
"X2019.02.26.9",0.00493471782370881
"X2019.02.26.10",0.011318939823788
"X2019.02.26.11",0.0104656626674481
"X2019.02.26.12",0.015019986262908
"X2019.02.26.13",0.0188433118445769
"X2019.02.26.14",0.00895257360472829
"X2019.02.26.15",0.000242977970659488
"X2019.02.26.16",0.00141454796299015
"X2019.02.26.17",0.0190813005937571
"X2019.02.26.18",0.033571835115352
"X2019.02.26.19",0.0242034919452891
"X2019.02.26.20",0.00958139026553268
"X2019.02.26.21",0.00517443783678668
"X2019.02.26.22",0.00138005757253946
"X2019.02.26.23",0.0150930384745867
"X2019.02.27",0.090621093420931
"X2019.02.27.1",0.0152299766509028
"X2019.02.27.2",0.0143010362866648
"X2019.02.27.3",0.0280908992065086
"X2019.02.27.4",0.0670709008646724
"X2019.02.27.5",0.00448208359664929
"X2019.02.27.6",0.015743730841462
"X2019.02.27.7",0.00546886162853381
"X2019.02.27.8",0.00970118725376339
"X2019.02.27.9",0.0220991381848212
"X2019.02.27.10",0.00725459224813122
"X2019.02.27.11",0.00543309877673062
"X2019.02.27.12",0.00243266602725856
"X2019.02.27.13",0.00729517635700583
"X2019.02.27.14",0.0034496588657843
"X2019.02.27.15",0.0196457321310454
"X2019.02.27.16",0.0142915969626081
"X2019.02.27.17",0.0125267640464543
"X2019.02.27.18",0.00937788131529862
"X2019.02.27.19",0.00415468388067296
"X2019.02.27.20",0.000259476480489557
"X2019.02.27.21",0.00346651661613486
"X2019.02.27.22",0.00992615000884464
"X2019.02.27.23",0.0105914254534209
"X2019.02.28",0.0250913345523729
"X2019.02.28.1",0.0129527358172264
"X2019.02.28.2",0.0153395429294481
"X2019.02.28.3",0.00673287032356763
"X2019.02.28.4",0.00671083868521609
"X2019.02.28.5",0.00518742510953869
"X2019.02.28.6",0.00946501127192601
"X2019.02.28.7",0.0221756775382605
"X2019.02.28.8",0.0211132009568774
"X2019.02.28.9",0.0294246627056353
"X2019.02.28.10",0.000768638290975232
"X2019.02.28.11",0.00161781450550977
"X2019.02.28.12",0.0139616445450951
"X2019.02.28.13",0.0022854766494101
"X2019.02.28.14",0.00277882840247742
"X2019.02.28.15",0.00714997100675682
"X2019.02.28.16",0.0206954737575981
"X2019.02.28.17",0.00989767265985109
"X2019.02.28.18",0.00227254073136485
"X2019.02.28.19",0.000934397756868913
"X2019.02.28.20",0.00685077244206213
"X2019.02.28.21",0.00582549336104083
"X2019.02.28.22",0.016388399315066
"X2019.02.28.23",0.0145454878901084
"X2019.03.01",0.00989144542236352
"X2019.03.01.1",0.0108895033607445
"X2019.03.01.2",0.000582858067438031
"X2019.03.01.3",0.000596371812976009
"X2019.03.01.4",0.00646870144448006
"X2019.03.01.5",0.00278014582133413
"X2019.03.01.6",0.0119808468109013
"X2019.03.01.7",0.0054491507430107
"X2019.03.01.8",0.0202949694458248
"X2019.03.01.9",0.00567827452726695
"X2019.03.01.10",0.00363662571874931
"X2019.03.01.11",0.00754908018346994
"X2019.03.01.12",0.0112572527424073
"X2019.03.01.13",0.000935274010257884
"X2019.03.01.14",0.00533454912724839
"X2019.03.01.15",0.0078939826075517
"X2019.03.01.16",0.00417175565317544
"X2019.03.01.17",0.00264425570203126
"X2019.03.01.18",0.00572007338200586
"X2019.03.01.19",8.22059970604417e-05
"X2019.03.01.20",0.00996653493233116
"X2019.03.01.21",0.00194994263716208
"X2019.03.01.22",0.00652492873410868
"X2019.03.01.23",0.0205045180196834
"X2019.03.02",0.013201159844106
"X2019.03.02.1",0.00399978711042415
"X2019.03.02.2",0.000250938410409132
"X2019.03.02.3",0.0036644689896971
"X2019.03.02.4",0.00246493666740735
"X2019.03.02.5",0.00400641019038273
"X2019.03.02.6",0.0141099626061738
"X2019.03.02.7",0.00076946455968404
"X2019.03.02.8",0.014266007067521
"X2019.03.02.9",0.00178351876690373
"X2019.03.02.10",0.00332467730471181
"X2019.03.02.11",0.00569674173180076
"X2019.03.02.12",0.00621569469277988
"X2019.03.02.13",0.00828313695170345
"X2019.03.02.14",0.00951421980527348
"X2019.03.02.15",0.00163384831718921
"X2019.03.02.16",0.00831637236003773
"X2019.03.02.17",0.00657734638050269
"X2019.03.02.18",0.000423045143589142
"X2019.03.02.19",0.00280926765654779
"X2019.03.02.20",0.0124813335289911
"X2019.03.02.21",0.000767702510942418
"X2019.03.02.22",0.00602754636488671
"X2019.03.02.23",0.0102475019180606
"X2019.03.03",0.022347910028711
"X2019.03.03.1",0.00538828062432876
"X2019.03.03.2",0.00608653196302172
"X2019.03.03.3",0.00727850189977041
"X2019.03.03.4",0.00298763605995142
"X2019.03.03.5",0.00162610089244056
"X2019.03.03.6",0.00383786661979694
"X2019.03.03.7",0.0107995358040625
"X2019.03.03.8",0.0116596443207324
"X2019.03.03.9",0.00299061657613687
"X2019.03.03.10",0.0116644473405364
"X2019.03.03.11",0.00838766103020634
"X2019.03.03.12",0.00346025156822987
"X2019.03.03.13",0.0107584121525733
"X2019.03.03.14",0.000768755505836323
"X2019.03.03.15",0.00178801738567814
"X2019.03.03.16",0.00364469744818724
"X2019.03.03.17",8.98859865981347e-05
"X2019.03.03.18",0.000259476480489557
"X2019.03.03.19",0.00921690143120623
"X2019.03.03.20",0.00600814898174589
"X2019.03.03.21",0.00246145220338172
"X2019.03.03.22",0.00534933959664589
"X2019.03.03.23",0.00787869283159708
"X2019.03.04",0.133486372476066
"X2019.03.04.1",0.0108895550513536
"X2019.03.04.2",0.00587256630770029
"X2019.03.04.3",0.00260207447192012
"X2019.03.04.4",0.00694060537247779
"X2019.03.04.5",0.00223716405675032
"X2019.03.04.6",0.00746600845483414
"X2019.03.04.7",0.00856529499125321
"X2019.03.04.8",0.0052978916649052
"X2019.03.04.9",0.00136126589070946
"X2019.03.04.10",0.0101826082193762
"X2019.03.04.11",0.00136735766304796
"X2019.03.04.12",0.00496248750024789
"X2019.03.04.13",0.00100770266920713
"X2019.03.04.14",0.00515117220487678
"X2019.03.04.15",0.0158242331754375
"X2019.03.04.16",0.0132040080693483
"X2019.03.04.17",0.000617441399795197
"X2019.03.04.18",8.04867804451597e-05
"X2019.03.04.19",0.0110245741053508
"X2019.03.04.20",0.0811379097067335
"X2019.03.04.21",0.0237070121100285
"X2019.03.04.22",0.0117123829461882
"X2019.03.04.23",0.00521138875603917
"X2019.03.05",0.0435785218612623
"X2019.03.05.1",0.0309735728451751
"X2019.03.05.2",0.00652753051960379
"X2019.03.05.3",0.009713504581109
"X2019.03.05.4",0.00849314896874631
"X2019.03.05.5",0.00362177395347041
"X2019.03.05.6",0.00750576728241151
"X2019.03.05.7",0.00803769033617499
"X2019.03.05.8",0.0126595775417373
"X2019.03.05.9",0.00637388140258221
"X2019.03.05.10",0.0103022874488316
"X2019.03.05.11",0.081401664769859
"X2019.03.05.12",0.00468835322799472
"X2019.03.05.13",0.00133594077431898
"X2019.03.05.14",0.0107000216179365
"X2019.03.05.15",0.00924185464528175
"X2019.03.05.16",0.0331595403234045
"X2019.03.05.17",0.00169989843413994
"X2019.03.05.18",0.000259476480489557
"X2019.03.05.19",0.0112833558698969
"X2019.03.05.20",0.0255545176623687
"X2019.03.05.21",0.0242165306346461
"X2019.03.05.22",0.00769491802118645
"X2019.03.05.23",0.000981422541067583
"X2019.03.06",0.150453856939267
"X2019.03.06.1",0.00786075482093623
"X2019.03.06.2",0.00585039391042124
"X2019.03.06.3",0.00246584449908045
"X2019.03.06.4",0.00686087408010154
"X2019.03.06.5",0.00296928933990124
"X2019.03.06.6",0.00752230618909326
"X2019.03.06.7",0.00177984680251487
"X2019.03.06.8",0.00787704102162466
"X2019.03.06.9",0.00790336198643994
"X2019.03.06.10",0.0033109571521267
"X2019.03.06.11",0.01109353791705
"X2019.03.06.12",0.0112037189746877
"X2019.03.06.13",0.00750135401835616
"X2019.03.06.14",0.0026224220588452
"X2019.03.06.15",0.0114331997049497
"X2019.03.06.16",0.00973182680397796
"X2019.03.06.17",0.00159832835148303
"X2019.03.06.18",0.0229978762786519
"X2019.03.06.19",0.00469860763807894
"X2019.03.06.20",0.00724768949636621
"X2019.03.06.21",0.00976713323930442
"X2019.03.06.22",0.00739239946134717
"X2019.03.06.23",0.00975405617860453
"X2019.03.07",0.0106132464820715
"X2019.03.07.1",0.000429614776785773
"X2019.03.07.2",0.00500873565711117
"X2019.03.07.3",0.000938541238027487
"X2019.03.07.4",0.0048284355977951
"X2019.03.07.5",0.00636637669124952
"X2019.03.07.6",0.00466129047252865
"X2019.03.07.7",0.00297302873300885
"X2019.03.07.8",0.00569658692002437
"X2019.03.07.9",0.0122936218863557
"X2019.03.07.10",0.0134931542086455
"X2019.03.07.11",0.00500954518684466
"X2019.03.07.12",0.00689028532316965
