"","V1"
"X2020.02.27",0.0241612194095111
"X2020.02.27.1",0.00228032522975446
"X2020.02.27.2",0.0111905814354006
"X2020.02.27.3",0.0112234577298194
"X2020.02.27.4",0.00794565614211497
"X2020.02.27.5",0.000899868045925002
"X2020.02.27.6",0.0176585840346564
"X2020.02.27.7",0.0100851158120008
"X2020.02.27.8",0.00937552467095673
"X2020.02.27.9",0.00389096067417385
"X2020.02.27.10",0.0138842865822215
"X2020.02.27.11",0.012312701470433
"X2020.02.27.12",0.00476884190466544
"X2020.02.27.13",0.0120406905834446
"X2020.02.27.14",0.00191453639171135
"X2020.02.27.15",0.0113716355294843
"X2020.02.28",0.0172822073286457
"X2020.02.28.1",0.0191499135283128
"X2020.02.28.2",0.0299266857454075
"X2020.02.28.3",0.0130992093891387
"X2020.02.28.4",0.0128005355835863
"X2020.02.28.5",0.0078650848804984
"X2020.02.28.6",0.00349305666223395
"X2020.02.28.7",0.0220850013944834
"X2020.02.28.8",0.0160493045793573
"X2020.02.28.9",0.0131884334795128
"X2020.02.28.10",0.00220084274778713
"X2020.02.28.11",0.0377551948935417
"X2020.02.28.12",0.016574609914142
"X2020.02.28.13",0.00352692449385588
"X2020.02.28.14",0.0017928464803838
"X2020.02.28.15",0.0275295260727761
"X2020.02.28.16",0.00384698792701746
"X2020.02.28.17",0.017635013641791
"X2020.02.28.18",0.00031761982402401
"X2020.02.28.19",0.00905893751688472
"X2020.02.28.20",0.00190838248468058
"X2020.02.28.21",0.00833439834616685
"X2020.02.28.22",0.00688014281792459
"X2020.02.28.23",0.0105168829824517
"X2020.02.29",0.0871232797712484
"X2020.02.29.1",0.0264805525660658
"X2020.02.29.2",0.00124164450891262
"X2020.02.29.3",0.00438084057031305
"X2020.02.29.4",0.00648988145315891
"X2020.02.29.5",0.00428023050458149
"X2020.02.29.6",0.00169405043815004
"X2020.02.29.7",0.0118167091411559
"X2020.02.29.8",0.0106245007354991
"X2020.02.29.9",0.00764692303302989
"X2020.02.29.10",0.00374003878606923
"X2020.02.29.11",0.00770252582760367
"X2020.02.29.12",0.00899160109327072
"X2020.02.29.13",0.0194412650671881
"X2020.02.29.14",0.0161583574656121
"X2020.02.29.15",0.0128038756404847
"X2020.02.29.16",0.00409644985552303
"X2020.02.29.17",0.0100653727890926
"X2020.02.29.18",0.0102586759116298
"X2020.02.29.19",0.00474704641835077
"X2020.02.29.20",0.00865372895460015
"X2020.02.29.21",0.000265067134038
"X2020.02.29.22",0.0122581578809027
"X2020.02.29.23",0.0110034059783345
"X2020.03.01",0.0536708865628027
"X2020.03.01.1",0.00464342080501717
"X2020.03.01.2",0.0115920259301844
"X2020.03.01.3",0.0062378307358802
"X2020.03.01.4",0.0132060760072669
"X2020.03.01.5",0.0259881370780419
"X2020.03.01.6",0.0132961743024404
"X2020.03.01.7",0.00737353949856393
"X2020.03.01.8",0.008713536735247
"X2020.03.01.9",0.00300927880122876
"X2020.03.01.10",0.0103392114405852
"X2020.03.01.11",0.00836163945135694
"X2020.03.01.12",0.0180973168703564
"X2020.03.01.13",0.0208843465228373
"X2020.03.01.14",0.00862815045728473
"X2020.03.01.15",0.00304219853308074
"X2020.03.01.16",0.000516253548352037
"X2020.03.01.17",0.00278300330223836
"X2020.03.01.18",0.00892240612666583
"X2020.03.01.19",0.000906965731202121
"X2020.03.01.20",0.00725109009732956
"X2020.03.01.21",0.00633354834336592
"X2020.03.01.22",0.00325167368029653
"X2020.03.01.23",0.0288871794770327
"X2020.03.02",0.0978882288694546
"X2020.03.02.1",0.000257946862903081
"X2020.03.02.2",0.00550798245522281
"X2020.03.02.3",0.0122624808405526
"X2020.03.02.4",0.00222019379643275
"X2020.03.02.5",0.00686708345390085
"X2020.03.02.6",0.00237626485291914
"X2020.03.02.7",0.00364323550765707
"X2020.03.02.8",0.00691997655695525
"X2020.03.02.9",0.00425347804063469
"X2020.03.02.10",0.000740578879818568
"X2020.03.02.11",0.0182092082046589
"X2020.03.02.12",0.00302435725400038
"X2020.03.02.13",0.00667557892512917
"X2020.03.02.14",0.00898281702707797
"X2020.03.02.15",0.00651653506713311
"X2020.03.02.16",0.0122989163465202
"X2020.03.02.17",0.000302206779398821
"X2020.03.02.18",0.00908125376939412
"X2020.03.02.19",0.00413931304904882
"X2020.03.02.20",0.0101877362244289
"X2020.03.02.21",0.00387839734493808
"X2020.03.02.22",0.0197236872504405
"X2020.03.02.23",0.00177215218291857
"X2020.03.03",0.054570524721295
"X2020.03.03.1",0.00370461059240034
"X2020.03.03.2",0.0113514816129909
"X2020.03.03.3",0.00566274176932318
"X2020.03.03.4",0.00160914429862063
"X2020.03.03.5",0.000771953400038524
"X2020.03.03.6",0.00240480184300844
"X2020.03.03.7",0.00445084210051901
"X2020.03.03.8",0.013845095335295
"X2020.03.03.9",0.00570199025527863
"X2020.03.03.10",0.0198431399004412
"X2020.03.03.11",0.00564663719383609
"X2020.03.03.12",0.0193918274460929
"X2020.03.03.13",0.0107189868185182
"X2020.03.03.14",0.00118226796937024
"X2020.03.03.15",0.0127783701700858
"X2020.03.03.16",0.00583837823743921
"X2020.03.03.17",0.00441210398623891
"X2020.03.03.18",0.018264780027096
"X2020.03.03.19",0.003416011569864
"X2020.03.03.20",0.00926919575833525
"X2020.03.03.21",0.00049581746930502
"X2020.03.03.22",0.0136810978873792
"X2020.03.03.23",0.0047522103969033
"X2020.03.04",0.0250508905341098
"X2020.03.04.1",0.000738827137251148
"X2020.03.04.2",0.0068784014236637
"X2020.03.04.3",0.00442930044939741
"X2020.03.04.4",0.00860393201894099
"X2020.03.04.5",0.00582993900260854
"X2020.03.04.6",0.001013991024707
"X2020.03.04.7",0.00130150928028166
"X2020.03.04.8",0.00477798201682616
"X2020.03.04.9",0.00450239430379748
"X2020.03.04.10",0.00994800101433899
"X2020.03.04.11",0.00962322823999301
"X2020.03.04.12",0.00128549396966524
"X2020.03.04.13",0.0030807711886379
"X2020.03.04.14",0.00323417377664669
"X2020.03.04.15",0.0180032963547813
"X2020.03.04.16",0.00247782367319461
"X2020.03.04.17",0.00701401963915997
"X2020.03.04.18",0.0120103549237643
"X2020.03.04.19",0.00348870531128296
"X2020.03.04.20",0.0110353155523151
"X2020.03.04.21",0.00396791663102635
"X2020.03.04.22",0.00431520925732286
"X2020.03.04.23",0.00447768906759167
"X2020.03.05",0.0751145416222953
"X2020.03.05.1",0.00144213897233413
"X2020.03.05.2",0.0109238658413019
"X2020.03.05.3",0.000582408779842911
"X2020.03.05.4",0.0108998047518026
"X2020.03.05.5",0.0125773833187259
"X2020.03.05.6",0.0024310160608215
"X2020.03.05.7",0.00534500552189882
"X2020.03.05.8",0.000527794972892433
"X2020.03.05.9",0.0152545200014066
"X2020.03.05.10",0.0127851452003417
"X2020.03.05.11",0.000546971487030985
"X2020.03.05.12",0.00613343036631698
"X2020.03.05.13",0.00588917259924088
"X2020.03.05.14",0.00369088317220297
"X2020.03.05.15",0.0378179584784975
"X2020.03.05.16",0.00827484702254569
"X2020.03.05.17",0.00947637431202095
"X2020.03.05.18",0.00244044443112751
"X2020.03.05.19",0.00743285910664794
"X2020.03.05.20",0.00794717871763687
"X2020.03.05.21",0.013301928853678
"X2020.03.05.22",0.0138675696989473
"X2020.03.05.23",0.00362380905681035
"X2020.03.06",0.0724989289659915
"X2020.03.06.1",0.00661009484333788
"X2020.03.06.2",8.72963865963964e-05
"X2020.03.06.3",0.00369038196724904
"X2020.03.06.4",0.00315958568515366
"X2020.03.06.5",0.00629861131788928
"X2020.03.06.6",0.00119815308353424
"X2020.03.06.7",0.0060306200438148
"X2020.03.06.8",0.012171042693962
"X2020.03.06.9",0.0151513900126627
"X2020.03.06.10",0.00346391518044137
"X2020.03.06.11",0.0136236352524546
"X2020.03.06.12",0.00358391676855703
"X2020.03.06.13",0.00254676104953933
"X2020.03.06.14",0.00656711822512012
"X2020.03.06.15",0.00089337355752743
"X2020.03.06.16",0.00394114534488985
"X2020.03.06.17",0.00113171769773069
"X2020.03.06.18",0.00333352085092105
"X2020.03.06.19",0.0179864685668639
"X2020.03.06.20",0.00135513032462148
"X2020.03.06.21",0.00406130106650287
"X2020.03.06.22",0.0110990158185729
"X2020.03.06.23",0.00769091154178124
"X2020.03.07",0.0272954946003565
"X2020.03.07.1",0.00474209760162338
"X2020.03.07.2",0.00818392365251969
"X2020.03.07.3",2.90764561480698e-05
"X2020.03.07.4",0.00201828237343806
"X2020.03.07.5",0.00108491019806511
"X2020.03.07.6",0.0101838489581449
"X2020.03.07.7",0.0292468012598855
"X2020.03.07.8",0.0194649237834091
"X2020.03.07.9",0.00158727939814138
"X2020.03.07.10",0.0056854528022405
"X2020.03.07.11",0.000266529000152162
"X2020.03.07.12",0.00168663661358031
"X2020.03.07.13",0.00078167329531953
"X2020.03.07.14",0.00466798082094828
"X2020.03.07.15",0.00171924715861401
"X2020.03.07.16",0.00799210996100184
"X2020.03.07.17",0.000371572657891558
"X2020.03.07.18",0.000342000907892601
"X2020.03.07.19",0.00316951413774562
"X2020.03.07.20",0.00574821418693737
"X2020.03.07.21",0.000774146086532823
"X2020.03.07.22",0.00149441301033785
"X2020.03.07.23",0.00748069290775676
"X2020.03.08",0.294560396344132
"X2020.03.08.1",0.0369747641292282
"X2020.03.08.2",0.0270705130110122
"X2020.03.08.3",0.00217428214146868
"X2020.03.08.4",0.00285869937791054
"X2020.03.08.5",0.0020824219298191
"X2020.03.08.6",0.00708306446630474
"X2020.03.08.7",0.0105457370166591
"X2020.03.08.8",0.0303030738210949
"X2020.03.08.9",0.0493893766556784
"X2020.03.08.10",0.0189720006054085
"X2020.03.08.11",0.00749825769532321
"X2020.03.08.12",0.0153510724638231
"X2020.03.08.13",8.38602177317135e-05
"X2020.03.08.14",0.00621077736522297
"X2020.03.08.15",0.00303441796306518
"X2020.03.08.16",0.00350268717311786
"X2020.03.08.17",0.00583372325485759
"X2020.03.08.18",0.000335190561927826
"X2020.03.08.19",0.00326034636987384
"X2020.03.08.20",0.000103668980916656
"X2020.03.08.21",0.00651788345590353
"X2020.03.08.22",0.00840688121268658
"X2020.03.08.23",0.00612102058558683
"X2020.03.09",0.232785206864519
"X2020.03.09.1",0.0169379415548572
"X2020.03.09.2",0.0149795973609847
"X2020.03.09.3",0.00964138044615474
"X2020.03.09.4",0.00556572047455841
"X2020.03.09.5",0.0270700143553467
"X2020.03.09.6",0.00767067499213955
"X2020.03.09.7",0.0153672840051025
"X2020.03.09.8",0.00717666511703936
"X2020.03.09.9",0.00916145699888342
"X2020.03.09.10",0.0185644764677314
"X2020.03.09.11",0.0240320579565137
"X2020.03.09.12",0.018888880029259
"X2020.03.09.13",0.0209265093101679
"X2020.03.09.14",0.00173586828490414
"X2020.03.09.15",0.0256246152830842
"X2020.03.09.16",0.0241610905122321
"X2020.03.09.17",0.00522353344416116
"X2020.03.09.18",0.0131014630560189
"X2020.03.09.19",0.0206718544405173
"X2020.03.09.20",0.0578918736530626
"X2020.03.09.21",0.0119287454747091
"X2020.03.09.22",0.0182899619438803
"X2020.03.09.23",0.00397485393803005
"X2020.03.10",0.0566192350048838
"X2020.03.10.1",0.0224902155064223
"X2020.03.10.2",0.00148445950728912
"X2020.03.10.3",0.0116802309225715
"X2020.03.10.4",0.00619706247010672
"X2020.03.10.5",0.0312778873193557
"X2020.03.10.6",0.00180599151203785
"X2020.03.10.7",0.00885188750894288
"X2020.03.10.8",0.0261391717000116
"X2020.03.10.9",0.0815514932569041
"X2020.03.10.10",0.00922598237162632
"X2020.03.10.11",0.021273220426923
"X2020.03.10.12",0.021758450362361
"X2020.03.10.13",0.0105354697167593
"X2020.03.10.14",0.0434140754094627
"X2020.03.10.15",0.00587004196307947
"X2020.03.10.16",0.00191828944734762
"X2020.03.10.17",0.00455157155871029
"X2020.03.10.18",0.00373711923693274
"X2020.03.10.19",0.000282417922550404
"X2020.03.10.20",0.011134043833682
"X2020.03.10.21",0.0137733962984763
"X2020.03.10.22",0.0118370391459734
"X2020.03.10.23",0.00935088726094594
"X2020.03.11",0.000656835598241894
"X2020.03.11.1",0.0060770371502161
"X2020.03.11.2",0.0425203071423694
"X2020.03.11.3",0.0156951455278392
"X2020.03.11.4",0.0112623367765629
"X2020.03.11.5",0.0104751145028006
"X2020.03.11.6",0.0389426855301518
"X2020.03.11.7",0.028546190319991
"X2020.03.11.8",0.0048655365670701
"X2020.03.11.9",0.00607694707688575
"X2020.03.11.10",0.0159416282770675
"X2020.03.11.11",0.00104920925381788
"X2020.03.11.12",0.00862329767587213
"X2020.03.11.13",0.00347028111712157
"X2020.03.11.14",0.0049972212033064
"X2020.03.11.15",0.0024599306544518
"X2020.03.11.16",0.00910145996153135
"X2020.03.11.17",0.0118814704102002
"X2020.03.11.18",0.00609406993816918
"X2020.03.11.19",0.0165992023877847
"X2020.03.11.20",0.00371711879147194
"X2020.03.11.21",0.00540422101615
"X2020.03.11.22",0.00417290625326104
"X2020.03.11.23",0.00456526651574011
"X2020.03.12",1.1280033511606
"X2020.03.12.1",0.411722484653212
"X2020.03.12.2",0.00439345785035379
"X2020.03.12.3",0.0307653109711666
"X2020.03.12.4",0.122865481825984
"X2020.03.12.5",0.0191909311071646
"X2020.03.12.6",0.0482327586170112
"X2020.03.12.7",0.0119255845146475
"X2020.03.12.8",0.0156421233973068
"X2020.03.12.9",0.0165466806557048
"X2020.03.12.10",0.0439134702235429
"X2020.03.12.11",0.0218535013031782
"X2020.03.12.12",0.0016545733157245
"X2020.03.12.13",0.111430061400894
"X2020.03.12.14",0.336021642195709
"X2020.03.12.15",0.0060194499932164
"X2020.03.12.16",0.00701919487591103
"X2020.03.12.17",0.0323217131657786
"X2020.03.12.18",0.0467142297116124
"X2020.03.12.19",0.0109973955308685
"X2020.03.12.20",0.0134666945073825
"X2020.03.12.21",0.00742991198287799
"X2020.03.12.22",0.0228618708607772
"X2020.03.12.23",0.0603770080760999
"X2020.03.13",0.782657375177024
"X2020.03.13.1",0.024657176833528
"X2020.03.13.2",0.0425128231354188
"X2020.03.13.3",0.0570402421725602
"X2020.03.13.4",0.00354478344245235
"X2020.03.13.5",0.186961127825992
"X2020.03.13.6",0.0854731152680837
"X2020.03.13.7",0.000789743522079238
"X2020.03.13.8",0.0141988448940441
"X2020.03.13.9",0.0731974092441734
"X2020.03.13.10",0.0870924280148738
"X2020.03.13.11",0.00660119231824124
"X2020.03.13.12",0.0687832451088875
"X2020.03.13.13",0.0751160430520176
"X2020.03.13.14",0.0807967866263506
"X2020.03.13.15",0.201146746346245
"X2020.03.13.16",0.0340219998090678
"X2020.03.13.17",0.079592780577448
"X2020.03.13.18",0.118980366931894
"X2020.03.13.19",0.0532757500853577
"X2020.03.13.20",0.222225724977033
"X2020.03.13.21",0.138579190559091
"X2020.03.13.22",0.468585298984941
"X2020.03.13.23",0.290272590905136
"X2020.03.14",0.230357710146571
"X2020.03.14.1",0.0494254265404922
"X2020.03.14.2",0.00506371428176512
"X2020.03.14.3",0.0135526460769737
"X2020.03.14.4",0.0262639655961668
"X2020.03.14.5",0.0261677892159723
"X2020.03.14.6",0.0195517636994998
"X2020.03.14.7",0.00328469288063805
"X2020.03.14.8",0.0352620530335328
"X2020.03.14.9",0.0251069360714355
"X2020.03.14.10",0.0313846379618801
"X2020.03.14.11",0.0603197830045194
"X2020.03.14.12",0.0164475593287376
"X2020.03.14.13",0.0258437956518328
"X2020.03.14.14",0.0729687561565943
"X2020.03.14.15",0.0508524997211554
"X2020.03.14.16",0.0616332873671086
"X2020.03.14.17",0.0313405245404933
"X2020.03.14.18",0.00326574530024934
"X2020.03.14.19",0.0324257629737243
"X2020.03.14.20",0.0248524112698077
"X2020.03.14.21",0.000736548752395571
"X2020.03.14.22",0.0330725995748571
"X2020.03.14.23",0.0140523673116088
"X2020.03.15",0.0626997342059962
"X2020.03.15.1",0.00383219084252398
"X2020.03.15.2",0.23715600566675
"X2020.03.15.3",0.313596362032171
"X2020.03.15.4",0.0570596862147984
"X2020.03.15.5",0.0066256023153678
"X2020.03.15.6",0.00619398384614084
"X2020.03.15.7",0.000473688020764838
