"","V1"
"X2019.02.25",0.000254101073397073
"X2019.02.25.1",0.00586329214191349
"X2019.02.25.2",0.00274516973784793
"X2019.02.25.3",0.00152389184702339
"X2019.02.25.4",0.00103878927096369
"X2019.02.25.5",0.00245467279492988
"X2019.02.25.6",0.00947419295391311
"X2019.02.25.7",0.00849822707038824
"X2019.02.25.8",0.000357395639462381
"X2019.02.25.9",0.0010954914942754
"X2019.02.25.10",0.000160388898311116
"X2019.02.25.11",0.00293789806558177
"X2019.02.25.12",0.00231604294888714
"X2019.02.25.13",0.00650444209379091
"X2019.02.25.14",0.00660831211992839
"X2019.02.25.15",0.0183764228019647
"X2019.02.25.16",0.00551088648663737
"X2019.02.25.17",0.0162673377807268
"X2019.02.25.18",0.00542269564538873
"X2019.02.25.19",0.00718198130765525
"X2019.02.25.20",0.0126043906525823
"X2019.02.25.21",0.00811667560726404
"X2019.02.25.22",0.000251073444278949
"X2019.02.26",0.000174069959834001
"X2019.02.26.1",0.000685999815901623
"X2019.02.26.2",0.00117564614313599
"X2019.02.26.3",0.000794534591451566
"X2019.02.26.4",0.00548996363930925
"X2019.02.26.5",0.00759732849085839
"X2019.02.26.6",0.00909943096959307
"X2019.02.26.7",0.00484502478449993
"X2019.02.26.8",0.000871863171503977
"X2019.02.26.9",0.000799665854905791
"X2019.02.26.10",0.0040183913023668
"X2019.02.26.11",0.00450348486362593
"X2019.02.26.12",6.44079218015382e-05
"X2019.02.26.13",0.00104049840068189
"X2019.02.26.14",0.00866719539135586
"X2019.02.26.15",0.00207779315660549
"X2019.02.26.16",0.00654106907323572
"X2019.02.26.17",0.00347231935882218
"X2019.02.26.18",0.00390708737689499
"X2019.02.26.19",0.00258435158181464
"X2019.02.26.20",0.00218882509373454
"X2019.02.26.21",0.00250626541562314
"X2019.02.26.22",0.00299264226334908
"X2019.02.26.23",0.000771339960383695
"X2019.02.27",0.00412778025173556
"X2019.02.27.1",0.00229157071616583
"X2019.02.27.2",0.00846732471034511
"X2019.02.27.3",0.000292441366599825
"X2019.02.27.4",0.000121926235156428
"X2019.02.27.5",0.00149610386425943
"X2019.02.27.6",0.00349316969425718
"X2019.02.27.7",0.00612637971095154
"X2019.02.27.8",0.00202768087497245
"X2019.02.27.9",0.000748459493273552
"X2019.02.27.10",0.00152390684586018
"X2019.02.27.11",0.00323262574551354
"X2019.02.27.12",0.00206279979312624
"X2019.02.27.13",0.000430016946714439
"X2019.02.27.14",0.00372430013317521
"X2019.02.27.15",0.00245986773733261
"X2019.02.27.16",0.000554830405121412
"X2019.02.27.17",0.00168318951472498
"X2019.02.27.18",0.0034346276293321
"X2019.02.27.19",0.00221278756240669
"X2019.02.27.20",0.0353927145145582
"X2019.02.27.21",0.0106531266845406
"X2019.02.27.22",0.0117002409505694
"X2019.02.27.23",0.0106718273491757
"X2019.02.28",0.00333523859441509
"X2019.02.28.1",0.0033235809912185
"X2019.02.28.2",0.00482700038148281
"X2019.02.28.3",0.000956824417421695
"X2019.02.28.4",0.00211411188427843
"X2019.02.28.5",0.00147990234840512
"X2019.02.28.6",0.00326059087054175
"X2019.02.28.7",1.24796973111894e-05
"X2019.02.28.8",0.00910424103475236
"X2019.02.28.9",0.000101922750034737
"X2019.02.28.10",0.00344361734484153
"X2019.02.28.11",0.00158373532145748
"X2019.02.28.12",0.00112070462964309
"X2019.02.28.13",0.00125268125619249
"X2019.02.28.14",0.00163380958779503
"X2019.02.28.15",0.00840902543012422
"X2019.02.28.16",0.0100256479853355
"X2019.02.28.17",0.00873792096395672
"X2019.02.28.18",0.00672576953818992
"X2019.02.28.19",0.00384780387392771
"X2019.02.28.20",0.00262602976752678
"X2019.02.28.21",0.0016633006920458
"X2019.02.28.22",0.0027411092737085
"X2019.02.28.23",0.000849491106285465
"X2019.03.01",0.0010899419622032
"X2019.03.01.1",0.00368972585221912
"X2019.03.01.2",0.000838655792101809
"X2019.03.01.3",0.00067259813480819
"X2019.03.01.4",0.00117549892986269
"X2019.03.01.5",0.000374405334522894
"X2019.03.01.6",0.000483736379983754
"X2019.03.01.7",0.00431558479703985
"X2019.03.01.8",8.0324486165627e-05
"X2019.03.01.9",0.000225607963422044
"X2019.03.01.10",0.000960848379930553
"X2019.03.01.11",0.00181764392388574
"X2019.03.01.12",0.000569293549197866
"X2019.03.01.13",0.00400541343503145
"X2019.03.01.14",0.000505671663748909
"X2019.03.01.15",0.00314875697772442
"X2019.03.01.16",0.00625407900818935
"X2019.03.01.17",0.00290693307705364
"X2019.03.01.18",0.00018311325887794
"X2019.03.01.19",0.00274874809640564
"X2019.03.01.20",0.000531219953085429
"X2019.03.01.21",0.000504159095829257
"X2019.03.01.22",0.00589943681745261
"X2019.03.01.23",0.00357110403995742
"X2019.03.02",0.00146625570810185
"X2019.03.02.1",0.00202269558171475
"X2019.03.02.2",0.00127208917849459
"X2019.03.02.3",0.000588276558604517
"X2019.03.02.4",0.00511250809386491
"X2019.03.02.5",0.000847531284467557
"X2019.03.02.6",5.80587684188355e-05
"X2019.03.02.7",0.00518718303989505
"X2019.03.02.8",0.00235712672381453
"X2019.03.02.9",0.00122710069600793
"X2019.03.02.10",0.00197697585743824
"X2019.03.02.11",0.00377920396067175
"X2019.03.02.12",1.39266151424201e-06
"X2019.03.02.13",0.000570921550577047
"X2019.03.02.14",0.00203255258396756
"X2019.03.02.15",0.00273558522787706
"X2019.03.02.16",0.000326727218944494
"X2019.03.02.17",0.00424360209272269
"X2019.03.02.18",0.00471008793305677
"X2019.03.02.19",0.00178573998109059
"X2019.03.02.20",0.00261616904982219
"X2019.03.02.21",0.00286782601581107
"X2019.03.02.22",0.00157861199022057
"X2019.03.02.23",0.00154970750223184
"X2019.03.03",0.000289151906376441
"X2019.03.03.1",0.000124112553440281
"X2019.03.03.2",0.00141860594689251
"X2019.03.03.3",0.000896665079668435
"X2019.03.03.4",0.000634882407168606
"X2019.03.03.5",0.000605743684878016
"X2019.03.03.6",0.00053476274891462
"X2019.03.03.7",0.00106012214720889
"X2019.03.03.8",0.00171552155838435
"X2019.03.03.9",0.000949215988422489
"X2019.03.03.10",0.000330495631784644
"X2019.03.03.11",0.00113782355149845
"X2019.03.03.12",0.000366995714112242
"X2019.03.03.13",0.00105290410592237
"X2019.03.03.14",0.00398500387921206
"X2019.03.03.15",0.00647272949891377
"X2019.03.03.16",0.0017439936243348
"X2019.03.03.17",0.000986650653123483
"X2019.03.03.18",0.000273407559837986
"X2019.03.03.19",0.00108729970903138
"X2019.03.03.20",0.0017980120397839
"X2019.03.03.21",0.00146565158428152
"X2019.03.03.22",0.00451231550557664
"X2019.03.03.23",0.00367108309561588
"X2019.03.04",0.00660377205782679
"X2019.03.04.1",0.00148924405426116
"X2019.03.04.2",0.00600658875478619
"X2019.03.04.3",0.00366286635268396
"X2019.03.04.4",0.0150908851803364
"X2019.03.04.5",0.0134331125144078
"X2019.03.04.6",0.0014675091979696
"X2019.03.04.7",0.0029183297059938
"X2019.03.04.8",0.00328639197061596
"X2019.03.04.9",0.00447906295402439
"X2019.03.04.10",0.00324353351923256
"X2019.03.04.11",0.00541841088232463
"X2019.03.04.12",0.00508728227850905
"X2019.03.04.13",0.00275893304926313
"X2019.03.04.14",0.0023993244738491
"X2019.03.04.15",0.00251818495589831
"X2019.03.04.16",0.00388679495939873
"X2019.03.04.17",0.000159951662028036
"X2019.03.04.18",0.00186239125875035
