"","V1"
"X2020.02.26",0.0567064036755811
"X2020.02.26.1",0.0230818785594354
"X2020.02.26.2",0.0536509256606605
"X2020.02.26.3",0.0437987678006862
"X2020.02.26.4",0.025095511047782
"X2020.02.26.5",0.0338115313258257
"X2020.02.26.6",0.0367313692010284
"X2020.02.26.7",0.00975678212848593
"X2020.02.26.8",0.0347253976741963
"X2020.02.26.9",0.0077433144129351
"X2020.02.26.10",0.00141301108519766
"X2020.02.26.11",0.0171582790818566
"X2020.02.26.12",0.0150567695743893
"X2020.02.26.13",0.00741014578757396
"X2020.02.26.14",0.0689726996743545
"X2020.02.27",0.184481810846197
"X2020.02.27.1",0.0134479541396183
"X2020.02.27.2",0.0240712998214391
"X2020.02.27.3",0.0615872079826767
"X2020.02.27.4",0.0133959099501708
"X2020.02.27.5",0.00544182980715366
"X2020.02.27.6",0.0239654577791009
"X2020.02.27.7",0.00409733977995011
"X2020.02.27.8",0.0548990237358235
"X2020.02.27.9",0.0107160803254852
"X2020.02.27.10",0.0102881962838456
"X2020.02.27.11",0.0218357216588452
"X2020.02.27.12",0.0012226408589627
"X2020.02.27.13",0.0129928497991182
"X2020.02.27.14",0.0437889959863627
"X2020.02.27.15",0.0400058109306054
"X2020.02.27.16",0.0270442633723973
"X2020.02.27.17",0.0171121206115229
"X2020.02.27.18",0.0167485518968932
"X2020.02.27.19",0.0367505775723707
"X2020.02.27.20",0.0040817504110927
"X2020.02.27.21",0.02495680202217
"X2020.02.27.22",0.0261343940765923
"X2020.02.27.23",0.0289624961225607
"X2020.02.28",0.109810333278487
"X2020.02.28.1",0.0224772868507736
"X2020.02.28.2",0.0373405967181336
"X2020.02.28.3",0.0185273856495398
"X2020.02.28.4",0.0172066457414781
"X2020.02.28.5",0.00354796816285794
"X2020.02.28.6",0.00840867304662093
"X2020.02.28.7",0.0111943552030451
"X2020.02.28.8",0.0261696798967765
"X2020.02.28.9",0.0280585822166169
"X2020.02.28.10",0.0116257790854575
"X2020.02.28.11",0.0547626890273602
"X2020.02.28.12",0.0314382348322198
"X2020.02.28.13",0.000974614795522119
"X2020.02.28.14",0.013974744954784
"X2020.02.28.15",0.0351593996557432
"X2020.02.28.16",0.00788128515767521
"X2020.02.28.17",0.0215762554456121
"X2020.02.28.18",0.01198496866695
"X2020.02.28.19",0.0166720875519162
"X2020.02.28.20",0.0059479470968806
"X2020.02.28.21",0.0223104894141216
"X2020.02.28.22",0.00763809913146777
"X2020.02.28.23",0.0265457592734923
"X2020.02.29",0.124745283749773
"X2020.02.29.1",0.0553373328050901
"X2020.02.29.2",0.0023213286218975
"X2020.02.29.3",0.0109628915886046
"X2020.02.29.4",0.00443184313217964
"X2020.02.29.5",0.00176454194027379
"X2020.02.29.6",0.00075104594877033
"X2020.02.29.7",0.0251167524892888
"X2020.02.29.8",0.0141176873108022
"X2020.02.29.9",0.013371059412122
"X2020.02.29.10",0.0127462078253477
