"","V1"
"X2019.02.25",0.0124900257931423
"X2019.02.25.1",0.0412245754712533
"X2019.02.25.2",0.022527939673551
"X2019.02.25.3",0.0315482507632198
"X2019.02.25.4",0.0135189034292289
"X2019.02.25.5",0.0263893471323236
"X2019.02.25.6",0.0213362133416658
"X2019.02.25.7",0.0498868711664105
"X2019.02.25.8",0.00533040253378697
"X2019.02.25.9",0.0209284249991253
"X2019.02.25.10",0.000147982466343307
"X2019.02.25.11",0.0213853805948739
"X2019.02.25.12",0.00274675667439946
"X2019.02.25.13",0.00776741642004559
"X2019.02.25.14",0.00440243297235042
"X2019.02.25.15",0.0155331003707595
"X2019.02.25.16",0.0182574437472834
"X2019.02.25.17",0.00574580537274495
"X2019.02.25.18",0.0184934046665557
"X2019.02.25.19",0.01216508952843
"X2019.02.25.20",0.009661801472936
"X2019.02.25.21",0.0304759836688918
"X2019.02.25.22",0.0106174197500668
"X2019.02.26",0.0182759999742828
"X2019.02.26.1",0.00306098606716174
"X2019.02.26.2",0.0139802039805109
"X2019.02.26.3",0.00323887073830331
"X2019.02.26.4",0.00138911397713358
"X2019.02.26.5",0.00309061258962068
"X2019.02.26.6",0.0111071357554565
"X2019.02.26.7",0.00539103289116503
"X2019.02.26.8",0.0199527920710826
"X2019.02.26.9",0.00472830563685896
"X2019.02.26.10",0.0174452599022297
"X2019.02.26.11",0.00369099661726963
"X2019.02.26.12",0.00353704428492935
"X2019.02.26.13",0.0121018895018276
"X2019.02.26.14",0.00673225239433947
"X2019.02.26.15",0.00336749227377129
"X2019.02.26.16",0.00549839843456881
"X2019.02.26.17",0.00978704064349572
"X2019.02.26.18",0.010699512643043
"X2019.02.26.19",0.0141287177738243
"X2019.02.26.20",0.00272120068125566
"X2019.02.26.21",0.00242321284541927
"X2019.02.26.22",0.00287152536899999
"X2019.02.26.23",0.00256523163002011
"X2019.02.27",0.0550672245947605
"X2019.02.27.1",0.0367443741650228
"X2019.02.27.2",0.0124952577639299
"X2019.02.27.3",0.0316541952049075
"X2019.02.27.4",0.0940281344450782
"X2019.02.27.5",0.00783771807773664
"X2019.02.27.6",0.0168028857828602
"X2019.02.27.7",0.00609580414912182
"X2019.02.27.8",0.00822103436443969
"X2019.02.27.9",0.00440010309578525
"X2019.02.27.10",0.0321937015501269
"X2019.02.27.11",0.0235743018341065
"X2019.02.27.12",0.00316511899717544
"X2019.02.27.13",0.00694818563967764
"X2019.02.27.14",0.00181130109889213
"X2019.02.27.15",0.0022701468259985
"X2019.02.27.16",0.00272655012187237
"X2019.02.27.17",0.024678474747036
"X2019.02.27.18",0.00199030452131161
"X2019.02.27.19",0.00828247568040849
"X2019.02.27.20",0.00184487840779716
"X2019.02.27.21",0.000461419513166557
"X2019.02.27.22",0.0095580372530133
"X2019.02.27.23",0.00200831152546162
"X2019.02.28",0.00448028534436605
"X2019.02.28.1",0.00231957489529218
"X2019.02.28.2",0.00847990953723387
"X2019.02.28.3",0.0032331559553128
"X2019.02.28.4",0.00799652530464488
"X2019.02.28.5",0.0104093256060833
"X2019.02.28.6",0.0159417679273767
"X2019.02.28.7",0.00859804478135419
"X2019.02.28.8",0.0114582819500549
"X2019.02.28.9",1.44452985291595e-06
"X2019.02.28.10",0.00824425813460675
"X2019.02.28.11",0.0035137016560208
"X2019.02.28.12",0.00487847009056638
"X2019.02.28.13",0.00854770922648379
"X2019.02.28.14",0.00137488546835432
"X2019.02.28.15",0.00320535872351857
"X2019.02.28.16",0.0176195056754382
"X2019.02.28.17",0.00276736072665879
"X2019.02.28.18",0.0139329867631729
"X2019.02.28.19",0.00443098701497652
"X2019.02.28.20",0.00719977425034946
"X2019.02.28.21",0.00199581879674523
"X2019.02.28.22",0.0168228548730361
"X2019.02.28.23",0.00717235394302216
"X2019.03.01",0.0174963449701556
"X2019.03.01.1",0.00630900998562638
"X2019.03.01.2",0.0125591376479333
"X2019.03.01.3",0.00351593018372046
"X2019.03.01.4",0.00336101811055347
"X2019.03.01.5",0.00594480455699841
"X2019.03.01.6",0.00395266168304776
"X2019.03.01.7",0.00624035349764772
"X2019.03.01.8",0.0156021552996668
"X2019.03.01.9",0.00276535102857556
"X2019.03.01.10",0.00169154248965274
"X2019.03.01.11",0.00400313709583972
"X2019.03.01.12",0.00308011585609589
"X2019.03.01.13",0.00445736803690526
"X2019.03.01.14",0.000767204224372216
"X2019.03.01.15",0.00276438604010522
"X2019.03.01.16",0.00738841166950782
"X2019.03.01.17",0.00769535469474169
"X2019.03.01.18",0.00444953632590722
"X2019.03.01.19",0.00214733202079809
"X2019.03.01.20",0.000766524363390509
"X2019.03.01.21",0.00891341869357571
"X2019.03.01.22",0.00230876611410611
"X2019.03.01.23",0.00277038049087536
"X2019.03.02",0.0426306261372904
"X2019.03.02.1",0.00660877054920405
"X2019.03.02.2",0.00834368077405017
"X2019.03.02.3",0.00770540486587994
"X2019.03.02.4",0.00975205642102508
"X2019.03.02.5",0.0185881484698828
"X2019.03.02.6",0.0171569417720383
"X2019.03.02.7",0.0141571809093738
"X2019.03.02.8",0.00949012528312257
"X2019.03.02.9",0.0133669688934191
"X2019.03.02.10",0.0001538034191767
"X2019.03.02.11",0.00376020548169349
"X2019.03.02.12",0.0092098476239188
"X2019.03.02.13",0.0112387101668644
"X2019.03.02.14",0.0136602690167882
"X2019.03.02.15",0.00441051991739062
"X2019.03.02.16",0.0001538034191767
"X2019.03.02.17",0.0217409230827707
"X2019.03.02.18",0.00124585388778984
"X2019.03.02.19",0.00837923348036055
"X2019.03.02.20",0.00973163777069156
"X2019.03.02.21",0.00107857660722367
"X2019.03.02.22",0.00138564450358613
"X2019.03.02.23",0.000923131930715799
"X2019.03.03",0.0860374321395409
"X2019.03.03.1",0.00752630404797945
"X2019.03.03.2",0.00924760489246195
"X2019.03.03.3",0.0057203669985161
"X2019.03.03.4",0.00682305580987638
"X2019.03.03.5",0.00302470077396609
"X2019.03.03.6",0.00397099672047471
"X2019.03.03.7",0.00190553025380254
"X2019.03.03.8",0.00522660840692655
"X2019.03.03.9",0.00713446548687544
"X2019.03.03.10",0.0115174270074581
"X2019.03.03.11",0.0111394130253687
"X2019.03.03.12",0.003440855395766
"X2019.03.03.13",0.00156318551022407
"X2019.03.03.14",0.00078213836277741
"X2019.03.03.15",0.00468143244077876
"X2019.03.03.16",0.00343788382047125
"X2019.03.03.17",0.000158224017569571
"X2019.03.03.18",0.0017173778969146
"X2019.03.03.19",0.00874392194071706
"X2019.03.03.20",0.00344274895969494
"X2019.03.03.21",0.000939565041253676
"X2019.03.03.22",0.00436974711342646
"X2019.03.03.23",0.00606946182275687
"X2019.03.04",0.138242153199853
"X2019.03.04.1",0.00397585050859674
"X2019.03.04.2",0.00831170194020558
"X2019.03.04.3",0.00926700910111426
"X2019.03.04.4",0.0132221735380288
"X2019.03.04.5",1.21336311104216e-05
"X2019.03.04.6",0.00531469859786802
"X2019.03.04.7",0.00379787192139479
"X2019.03.04.8",0.00183466248481759
"X2019.03.04.9",1.18162127701683e-05
"X2019.03.04.10",0.0129452973647252
"X2019.03.04.11",0.0118511619949087
"X2019.03.04.12",0.00503458057749922
"X2019.03.04.13",0.00316483605036018
"X2019.03.04.14",0.00402700904729358
"X2019.03.04.15",0.0173143275248375
"X2019.03.04.16",0.0137157374430727
"X2019.03.04.17",0.0111701848844048
"X2019.03.04.18",0.00113605194188963
"X2019.03.04.19",0.00213738795696389
"X2019.03.04.20",0.014190410317636
"X2019.03.04.21",0.00406537916967742
"X2019.03.04.22",0.0278638800688623
"X2019.03.04.23",0.000325962630079262
"X2019.03.05",0.0971518258743093
"X2019.03.05.1",0.0166990283115185
"X2019.03.05.2",0.00153739669061513
"X2019.03.05.3",0.00153741020280404
"X2019.03.05.4",0.0182189662398455
"X2019.03.05.5",0.0108515007819678
"X2019.03.05.6",0.00901901920643439
"X2019.03.05.7",0.00856067568368608
"X2019.03.05.8",0.0322582016562706
"X2019.03.05.9",0.00747738307623837
"X2019.03.05.10",0.0189578163640915
"X2019.03.05.11",0.0986546314478776
"X2019.03.05.12",0.0102330514779919
"X2019.03.05.13",0.00194717482406141
"X2019.03.05.14",0.004408101181706
"X2019.03.05.15",0.00812973295537273
"X2019.03.05.16",0.0208430286480788
"X2019.03.05.17",0.0109875812527149
"X2019.03.05.18",0.00988659269324386
"X2019.03.05.19",0.0038107991879438
"X2019.03.05.20",0.013232585406227
"X2019.03.05.21",0.00597461917381134
"X2019.03.05.22",0.00699519819793765
"X2019.03.05.23",0.00399131407567037
"X2019.03.06",0.183465165417357
"X2019.03.06.1",0.00439014484048851
"X2019.03.06.2",0.0151866962271279
"X2019.03.06.3",0.00503627095333639
"X2019.03.06.4",0.00609979363428397
"X2019.03.06.5",0.00288991575855047
"X2019.03.06.6",0.00350213986800694
"X2019.03.06.7",0.0103297725828158
"X2019.03.06.8",0.00635278908646598
"X2019.03.06.9",0.0186677284746012
"X2019.03.06.10",0.00182686229110243
"X2019.03.06.11",0.0130530470336783
"X2019.03.06.12",0.0159748400354021
"X2019.03.06.13",0.0223441393611506
"X2019.03.06.14",0.00212140398113324
"X2019.03.06.15",0.0164383777796833
"X2019.03.06.16",0.0127929469435312
"X2019.03.06.17",0.000761256967639699
"X2019.03.06.18",0.0281364366828265
"X2019.03.06.19",0.00107739004661832
"X2019.03.06.20",0.00338724343535171
"X2019.03.06.21",0.0124435758633763
"X2019.03.06.22",0.00936389478180095
"X2019.03.06.23",0.00706422944167959
"X2019.03.07",0.00841379933981243
"X2019.03.07.1",0.0123282230010306
"X2019.03.07.2",0.00575656206737881
"X2019.03.07.3",0.00636771820305103
"X2019.03.07.4",0.00395191581111148
"X2019.03.07.5",0.00637465762457488
"X2019.03.07.6",0.00653020660101151
"X2019.03.07.7",0.00455447970794775
"X2019.03.07.8",0.0133945091391716
"X2019.03.07.9",0.0147550223555286
"X2019.03.07.10",0.0112491821498223
"X2019.03.07.11",0.0118508948698951
"X2019.03.07.12",0.0184162327701932
"X2019.03.07.13",0.00535747323573115
"X2019.03.07.14",0.0105454677199505
"X2019.03.07.15",0.0016748385683931
"X2019.03.07.16",0.0159296906310048
"X2019.03.07.17",0.00514759684814611
"X2019.03.07.18",0.000300674046514597
"X2019.03.07.19",0.0255884671616376
"X2019.03.07.20",0.00914990684665638
"X2019.03.07.21",0.000454345321798238
"X2019.03.07.22",0.00451655286773548
"X2019.03.07.23",0.00241399730189378
"X2019.03.08",0.0774052224001473
"X2019.03.08.1",0.0155449083007553
"X2019.03.08.2",0.0553733938088606
"X2019.03.08.3",0.0283502954687376
"X2019.03.08.4",0.00302290749204718
"X2019.03.08.5",0.0247865642321968
"X2019.03.08.6",0.00473512573520478
"X2019.03.08.7",0.00183307573054248
"X2019.03.08.8",0.00518463199687221
"X2019.03.08.9",0.00410709209876598
"X2019.03.08.10",0.00837908335714291
"X2019.03.08.11",0.00979129577880714
"X2019.03.08.12",0.00183854892907969
"X2019.03.08.13",0.00504795074605463
"X2019.03.08.14",0.0099561794883083
"X2019.03.08.15",0.00107402538446544
"X2019.03.08.16",0.00337840269427069
"X2019.03.08.17",0.013325479478304
"X2019.03.08.18",0.00213510451680132
"X2019.03.08.19",0.00580434365271873
"X2019.03.08.20",0.0101177881502045
"X2019.03.08.21",0.00736193748094312
"X2019.03.08.22",0.00429176703906951
"X2019.03.08.23",0.0122354485191051
"X2019.03.09",0.000913413081609318
