"","V1"
"X2020.02.26",0.0224700225695082
"X2020.02.26.1",0.0543113022117403
"X2020.02.26.2",0.0654537950456263
"X2020.02.26.3",0.0519535663395783
"X2020.02.26.4",0.0369143361395418
"X2020.02.26.5",0.0244438359221014
"X2020.02.26.6",0.0293330729000216
"X2020.02.26.7",0.0128251720663104
"X2020.02.26.8",0.0576631104543208
"X2020.02.26.9",0.0026902064976144
"X2020.02.26.10",0.0244826246403522
"X2020.02.26.11",0.00332198012808269
"X2020.02.26.12",0.00388389507560929
"X2020.02.26.13",0.00387531769057137
"X2020.02.26.14",0.0528592392988152
"X2020.02.27",0.277132288334558
"X2020.02.27.1",0.0225778869937764
"X2020.02.27.2",0.0416515701290048
"X2020.02.27.3",0.0698500680916598
"X2020.02.27.4",0.0100674832267666
"X2020.02.27.5",0.00808153373739155
"X2020.02.27.6",0.0202141512791542
"X2020.02.27.7",0.0139965126064383
"X2020.02.27.8",0.0735720990992827
"X2020.02.27.9",0.00657041052754353
"X2020.02.27.10",0.00824278985273657
"X2020.02.27.11",0.0269544180605187
"X2020.02.27.12",0.00669597959322257
"X2020.02.27.13",0.00974083830086881
"X2020.02.27.14",0.0144166512512818
"X2020.02.27.15",0.0131094824085193
"X2020.02.27.16",0.000653666133018344
"X2020.02.27.17",0.00202235407651428
"X2020.02.27.18",0.0117164814426124
"X2020.02.27.19",0.0287514417074968
"X2020.02.27.20",0.0064631959074622
"X2020.02.27.21",0.0150715552054259
"X2020.02.27.22",0.0243234404292577
"X2020.02.27.23",0.0474648027857123
"X2020.02.28",0.033515450550061
"X2020.02.28.1",0.0316193238220636
"X2020.02.28.2",0.0377434547397706
"X2020.02.28.3",0.0244943550346412
"X2020.02.28.4",0.0290051811806421
"X2020.02.28.5",0.00425557690149605
"X2020.02.28.6",0.0122962112726423
"X2020.02.28.7",0.0219186274599178
"X2020.02.28.8",0.0240725704342087
"X2020.02.28.9",0.0198780346149365
"X2020.02.28.10",0.00791818090613329
"X2020.02.28.11",0.0468676151548579
"X2020.02.28.12",0.0130885038256032
"X2020.02.28.13",0.00178998421661834
"X2020.02.28.14",0.00559559631918577
"X2020.02.28.15",0.059729823909486
"X2020.02.28.16",0.0136586774747265
"X2020.02.28.17",0.00951055648157282
"X2020.02.28.18",0.025220403207484
"X2020.02.28.19",0.00867833091485076
"X2020.02.28.20",0.0106245191496441
"X2020.02.28.21",0.02106748953011
"X2020.02.28.22",0.0163067309226489
"X2020.02.28.23",0.0221885323079119
"X2020.02.29",0.153561771545988
"X2020.02.29.1",0.0270750206803264
"X2020.02.29.2",0.00555882571722073
"X2020.02.29.3",0.0104952243635634
"X2020.02.29.4",0.0197625162722888
"X2020.02.29.5",0.00895080608358341
"X2020.02.29.6",0.00555453572326315
"X2020.02.29.7",0.0439041871506143
"X2020.02.29.8",0.0158280058355724
"X2020.02.29.9",0.0104838793692473
"X2020.02.29.10",0.0272542521587929
"X2020.02.29.11",0.000665747808036235
"X2020.02.29.12",0.0203817595215168
"X2020.02.29.13",0.0387809008720347
"X2020.02.29.14",0.0271283962636721
"X2020.02.29.15",0.0308498931429833
"X2020.02.29.16",0.0101919281850392
"X2020.02.29.17",0.00743346390845401
"X2020.02.29.18",0.0269877423645218
"X2020.02.29.19",0.0154446313156448
"X2020.02.29.20",0.026461659695781
"X2020.02.29.21",0.0017300573477517
"X2020.02.29.22",0.00751690708760139
"X2020.02.29.23",0.0129000862198321
"X2020.03.01",0.10177665337028
"X2020.03.01.1",0.00743053325372025
"X2020.03.01.2",0.0362504443410566
"X2020.03.01.3",0.00547238882290555
"X2020.03.01.4",0.0137295448182836
"X2020.03.01.5",0.0321555677633721
"X2020.03.01.6",0.0351043075799116
"X2020.03.01.7",0.0121856468423178
"X2020.03.01.8",0.0307892112567115
"X2020.03.01.9",0.00738501831369414
"X2020.03.01.10",0.0167368870473291
"X2020.03.01.11",0.0135337114175646
"X2020.03.01.12",0.01843443060004
"X2020.03.01.13",0.0128022888579965
"X2020.03.01.14",0.0244593153818291
"X2020.03.01.15",0.0140593723262985
"X2020.03.01.16",0.00136769409624026
"X2020.03.01.17",0.00387246633688387
"X2020.03.01.18",0.0122043936790565
"X2020.03.01.19",0.00205382712838536
"X2020.03.01.20",0.0100679206656195
"X2020.03.01.21",0.00412147334940916
"X2020.03.01.22",0.0138181424403001
"X2020.03.01.23",0.0479432803862619
"X2020.03.02",0.100558542326344
"X2020.03.02.1",0.0120718307383894
"X2020.03.02.2",0.034077457488753
"X2020.03.02.3",0.0142753319550205
"X2020.03.02.4",0.00367817686215387
"X2020.03.02.5",0.00267378395949377
"X2020.03.02.6",0.00131613806270785
"X2020.03.02.7",0.0109851494984606
"X2020.03.02.8",0.0329931224783322
"X2020.03.02.9",0.00269716385900803
"X2020.03.02.10",0.00338068237777425
"X2020.03.02.11",0.02566711803659
"X2020.03.02.12",0.000319020673501682
"X2020.03.02.13",0.00587556732677608
"X2020.03.02.14",0.0116900661623859
"X2020.03.02.15",0.0159270830017222
"X2020.03.02.16",0.029068799781039
"X2020.03.02.17",0.00848884866160522
"X2020.03.02.18",0.00559921134458383
"X2020.03.02.19",0.00384669933752643
"X2020.03.02.20",0.0162689375503236
"X2020.03.02.21",0.0149246332805367
"X2020.03.02.22",0.0159185269503167
"X2020.03.02.23",0.00714096967703999
"X2020.03.03",0.100360958626737
"X2020.03.03.1",0.00103110260387182
"X2020.03.03.2",0.00538656269615191
"X2020.03.03.3",0.00777409098663915
"X2020.03.03.4",0.0165853770212872
"X2020.03.03.5",0.0104449653732215
"X2020.03.03.6",0.0142389926912426
"X2020.03.03.7",0.015020019669926
"X2020.03.03.8",0.023898499771757
"X2020.03.03.9",0.00133654280918329
"X2020.03.03.10",0.0202722216513689
"X2020.03.03.11",0.0083958940196088
"X2020.03.03.12",0.0387593216619409
"X2020.03.03.13",0.00960369318918486
"X2020.03.03.14",0.0196860291254857
"X2020.03.03.15",0.0175007418120854
"X2020.03.03.16",0.0118538236311461
"X2020.03.03.17",0.00308029383792303
"X2020.03.03.18",0.0243270950000099
"X2020.03.03.19",0.00906324139339276
"X2020.03.03.20",0.011108261896211
"X2020.03.03.21",0.0171459124839462
"X2020.03.03.22",0.0145608617867747
"X2020.03.03.23",0.00817014912053363
"X2020.03.04",0.012895480681224
"X2020.03.04.1",0.00202446022458008
"X2020.03.04.2",0.00407597659061175
"X2020.03.04.3",0.01610476431897
"X2020.03.04.4",0.00381070292312301
"X2020.03.04.5",0.0065167220582931
"X2020.03.04.6",0.00725341326092263
"X2020.03.04.7",0.00685720561265101
"X2020.03.04.8",0.00895370728879206
"X2020.03.04.9",0.0275267229897275
"X2020.03.04.10",0.0105786357991794
"X2020.03.04.11",0.0115581617502863
"X2020.03.04.12",0.00476349152406386
"X2020.03.04.13",0.00310065579777574
"X2020.03.04.14",0.00343606316088679
"X2020.03.04.15",0.0224058714187287
"X2020.03.04.16",0.00301926751957081
"X2020.03.04.17",0.00336104503706105
"X2020.03.04.18",0.019541633431927
"X2020.03.04.19",0.0107063537001513
"X2020.03.04.20",0.0187276413728409
"X2020.03.04.21",0.00438247666940384
"X2020.03.04.22",0.00266842496225177
"X2020.03.04.23",0.00435282978996567
"X2020.03.05",0.0257603200884007
"X2020.03.05.1",0.00864180310532349
"X2020.03.05.2",0.0248784406897312
"X2020.03.05.3",0.00330252226371408
"X2020.03.05.4",0.00395277335076711
"X2020.03.05.5",0.00132161570728604
"X2020.03.05.6",0.010802708343743
"X2020.03.05.7",0.00881845257573247
"X2020.03.05.8",0.0114869645500341
"X2020.03.05.9",0.0178498149047242
"X2020.03.05.10",0.0214890385460256
"X2020.03.05.11",0.00329326370066255
"X2020.03.05.12",0.00360265307845704
"X2020.03.05.13",0.0144161860500591
"X2020.03.05.14",0.0246065368386418
"X2020.03.05.15",0.0245628876772797
"X2020.03.05.16",0.00935887841733359
"X2020.03.05.17",0.0117253086141873
"X2020.03.05.18",0.00165379914878156
"X2020.03.05.19",0.0214569394918919
"X2020.03.05.20",0.008767709234441
"X2020.03.05.21",0.0178868323978795
"X2020.03.05.22",0.0124383191925113
"X2020.03.05.23",1.85933042718676e-05
"X2020.03.06",0.0794702125753309
"X2020.03.06.1",0.0169474098413132
"X2020.03.06.2",0.00687051629269136
"X2020.03.06.3",0.0150518800720226
"X2020.03.06.4",0.00197970539429394
"X2020.03.06.5",0.0158028767113279
"X2020.03.06.6",0.0099068214057326
"X2020.03.06.7",0.00295308073937797
"X2020.03.06.8",0.0138718206477833
"X2020.03.06.9",0.0165258272336723
"X2020.03.06.10",0.000647988274855508
"X2020.03.06.11",0.0173703066659043
"X2020.03.06.12",0.0152780192545366
"X2020.03.06.13",0.00907778656148666
"X2020.03.06.14",0.0179493360291532
"X2020.03.06.15",0.00361191788872302
"X2020.03.06.16",0.0121344641169147
"X2020.03.06.17",0.00329846580901306
"X2020.03.06.18",0.00525914614927178
"X2020.03.06.19",0.0403560648175996
"X2020.03.06.20",0.00201854974593345
"X2020.03.06.21",0.00567969471397064
"X2020.03.06.22",0.006317736060974
"X2020.03.06.23",0.00466234117250237
"X2020.03.07",0.0320007169052762
"X2020.03.07.1",0.0155828742801188
