"","V1"
"X2019.02.25",0.0102038635676127
"X2019.02.25.1",0.0221697474203905
"X2019.02.25.2",0.00169164701078768
"X2019.02.25.3",0.0468075650439272
"X2019.02.25.4",0.00957907622322829
"X2019.02.25.5",0.0195569824585634
"X2019.02.25.6",0.0210800504523229
"X2019.02.25.7",0.0693762630097833
"X2019.02.25.8",0.0211326270327488
"X2019.02.25.9",0.00630136130534044
"X2019.02.25.10",0.00217006193004788
"X2019.02.25.11",0.0277390906877539
"X2019.02.25.12",0.0103398931149171
"X2019.02.25.13",0.0276419487286998
"X2019.02.25.14",0.00103675477793804
"X2019.02.25.15",0.0278895533679364
"X2019.02.25.16",0.0161287883915438
"X2019.02.25.17",0.00496186029567718
"X2019.02.25.18",0.0118382107298356
"X2019.02.25.19",0.00424809059688536
"X2019.02.25.20",0.00447152540483093
"X2019.02.25.21",0.00424716122537711
"X2019.02.25.22",0.00886323083763096
"X2019.02.26",0.018708225786835
"X2019.02.26.1",0.00125319134970234
"X2019.02.26.2",0.00789697213377093
"X2019.02.26.3",0.00654648237315464
"X2019.02.26.4",0.00564423360766496
"X2019.02.26.5",0.0063288976794034
"X2019.02.26.6",0.00379866305167933
"X2019.02.26.7",0.0191348862082886
"X2019.02.26.8",0.00716919758635605
"X2019.02.26.9",0.00895441181811319
"X2019.02.26.10",0.0173887854280027
"X2019.02.26.11",0.00170743153227678
"X2019.02.26.12",0.00125012732108437
"X2019.02.26.13",0.0198363962669824
"X2019.02.26.14",0.0127928274829452
"X2019.02.26.15",0.0110451249879721
"X2019.02.26.16",0.00853835695783923
"X2019.02.26.17",0.0156329794628002
"X2019.02.26.18",0.0194853318042607
"X2019.02.26.19",0.00983946027455179
"X2019.02.26.20",0.0120363353024562
"X2019.02.26.21",0.0100151566864749
"X2019.02.26.22",0.01873652597927
"X2019.02.26.23",0.00414300262201739
"X2019.02.27",0.030791973188846
"X2019.02.27.1",0.0289542198630501
"X2019.02.27.2",0.0121382649574406
"X2019.02.27.3",0.00801571591071352
"X2019.02.27.4",0.0322100312611893
"X2019.02.27.5",0.00628696275527634
"X2019.02.27.6",0.000339191299890036
"X2019.02.27.7",0.00125196409221808
"X2019.02.27.8",0.0014869675928741
"X2019.02.27.9",0.00626548564266853
"X2019.02.27.10",0.00987271679353057
"X2019.02.27.11",0.00147692595835331
"X2019.02.27.12",0.00420121993880035
"X2019.02.27.13",0.00148056037780489
"X2019.02.27.14",0.00557886490856869
"X2019.02.27.15",0.00897666184700482
"X2019.02.27.16",0.000117501750328008
"X2019.02.27.17",0.00921166534766083
"X2019.02.27.18",0.00102915255103699
"X2019.02.27.19",0.00788303195825246
"X2019.02.27.20",0.0021695488507243
