"","V1"
"X2020.02.26",0.0403757983920778
"X2020.02.26.1",0.0154795663515484
"X2020.02.26.2",0.0367850914447413
"X2020.02.26.3",0.00473150974775183
"X2020.02.26.4",0.0352517057122811
"X2020.02.26.5",0.0908595512931744
"X2020.02.26.6",0.00266501025424061
"X2020.02.26.7",0.0530985634032789
"X2020.02.26.8",0.0185163600407399
"X2020.02.26.9",0.0298334810422892
"X2020.02.26.10",0.053995809644017
"X2020.02.26.11",0.0446192890806738
"X2020.02.26.12",0.0160099835131973
"X2020.02.26.13",0.0357120218393669
"X2020.02.26.14",0.0305976390169936
"X2020.02.26.15",0.0139260244723869
"X2020.02.26.16",0.0517660011661174
"X2020.02.26.17",0.00760749027948476
"X2020.02.26.18",0.0117109400942664
"X2020.02.26.19",0.0148424756932331
"X2020.02.26.20",0.00358321690194762
"X2020.02.26.21",0.00255719105707069
"X2020.02.26.22",0.108283915531971
"X2020.02.27",0.137238880183523
"X2020.02.27.1",0.0119657057845251
"X2020.02.27.2",0.0233982739779351
"X2020.02.27.3",0.0553364359927802
"X2020.02.27.4",0.0107226725083514
"X2020.02.27.5",0.0271043297140754
"X2020.02.27.6",0.0504152058795266
"X2020.02.27.7",0.000498743139371992
"X2020.02.27.8",0.0493559503724854
"X2020.02.27.9",0.0138981379788193
"X2020.02.27.10",0.0129319657556066
"X2020.02.27.11",0.0266031162382433
"X2020.02.27.12",0.00364980238500456
"X2020.02.27.13",0.00154998603689478
"X2020.02.27.14",0.0205574431409122
"X2020.02.27.15",0.0269093219794391
"X2020.02.27.16",0.0289670342185503
"X2020.02.27.17",0.00585582838064484
"X2020.02.27.18",0.0228113042059548
"X2020.02.27.19",0.0197847896173762
"X2020.02.27.20",0.0145213688890225
"X2020.02.27.21",0.0102533437776613
"X2020.02.27.22",0.00600858267674532
"X2020.02.27.23",0.0332073734205265
"X2020.02.28",0.114240249499247
"X2020.02.28.1",0.0203715129571486
"X2020.02.28.2",0.0287152561375345
"X2020.02.28.3",0.0131431466638198
"X2020.02.28.4",0.0163953947016682
"X2020.02.28.5",0.0132897963194677
"X2020.02.28.6",0.0101650413099397
"X2020.02.28.7",0.013296017506264
"X2020.02.28.8",0.0300006049309405
"X2020.02.28.9",0.0151757709353152
"X2020.02.28.10",0.00892475742379719
"X2020.02.28.11",0.0334224974596111
"X2020.02.28.12",0.00803961822240933
"X2020.02.28.13",0.00796820126580599
"X2020.02.28.14",0.0144305286839417
"X2020.02.28.15",0.0262240955852934
"X2020.02.28.16",0.0143412940477986
"X2020.02.28.17",0.0236902820150423
"X2020.02.28.18",0.0120286313296816
"X2020.02.28.19",0.0161066476257278
"X2020.02.28.20",0.00466773555912535
"X2020.02.28.21",0.0087738976701358
"X2020.02.28.22",0.0199839057388438
"X2020.02.28.23",0.0189255022376108
"X2020.02.29",0.134550160196418
"X2020.02.29.1",0.0531449114183514
"X2020.02.29.2",0.00268329468391155
"X2020.02.29.3",0.00267921950095278
"X2020.02.29.4",0.00584499825120715
"X2020.02.29.5",0.000498743139371992
"X2020.02.29.6",0.00372142594325875
"X2020.02.29.7",0.0259280911007758
"X2020.02.29.8",0.0228214174256121
"X2020.02.29.9",0.00789504912931614
"X2020.02.29.10",0.00795238064434761
"X2020.02.29.11",0.00266302261752565
"X2020.02.29.12",0.0142031295378046
"X2020.02.29.13",0.0289307911703368
"X2020.02.29.14",0.00901484866374312
"X2020.02.29.15",0.0392724309481625
"X2020.02.29.16",0.00261410546765054
"X2020.02.29.17",0.0036456566924491
"X2020.02.29.18",0.00983207454004927
"X2020.02.29.19",0.00565877582112081
"X2020.02.29.20",0.0160435349791316
"X2020.02.29.21",0.00674402870730138
"X2020.02.29.22",0.0172300923073338
"X2020.02.29.23",0.0183161148180708
"X2020.03.01",0.122142317016328
"X2020.03.01.1",0.0104135823726853
