"","V1"
"X2019.02.25",0.00515791970109134
"X2019.02.25.1",0.00582395002325295
"X2019.02.25.2",0.00396453193004152
"X2019.02.25.3",0.0362579391531827
"X2019.02.25.4",0.0211006679455957
"X2019.02.25.5",0.173140312837176
"X2019.02.25.6",0.0206093853061316
"X2019.02.25.7",0.0218911232060106
"X2019.02.25.8",0.0558116435949173
"X2019.02.25.9",4.80579132093606e-05
"X2019.02.25.10",0.00499481828060314
"X2019.02.25.11",0.0112757879805162
"X2019.02.25.12",0.00146684254425288
"X2019.02.25.13",0.00634394479471008
"X2019.02.25.14",0.000663352737241165
"X2019.02.25.15",0.00565181623291044
"X2019.02.25.16",0.00788145002170549
"X2019.02.25.17",0.00714435598620653
"X2019.02.25.18",0.00641453086661519
"X2019.02.25.19",0.00207198146295627
"X2019.02.25.20",0.00207409832738781
"X2019.02.25.21",0.00846182051660107
"X2019.02.25.22",4.80579132093606e-05
"X2019.02.26",0.116193051919202
"X2019.02.26.1",0.00129794548730576
"X2019.02.26.2",0.00737023687252847
"X2019.02.26.3",0.00342322028424223
"X2019.02.26.4",0.00879847751994256
"X2019.02.26.5",0.0134290912314893
"X2019.02.26.6",0.0209013723042959
"X2019.02.26.7",0.00799993894881761
"X2019.02.26.8",0.0221071321280152
"X2019.02.26.9",0.00337045861851482
"X2019.02.26.10",0.0206350493620649
"X2019.02.26.11",4.80579132093606e-05
"X2019.02.26.12",0.0160783486035054
"X2019.02.26.13",0.00328162990299693
"X2019.02.26.14",0.0166445759390003
"X2019.02.26.15",0.0393297425890785
"X2019.02.26.16",0.0114692227687429
"X2019.02.26.17",0.0160938371359428
"X2019.02.26.18",0.0215434552850776
"X2019.02.26.19",0.00405435372414917
"X2019.02.26.20",0.0311721371139094
"X2019.02.26.21",0.0268315416816347
"X2019.02.26.22",0.0090596236634937
"X2019.02.26.23",0.0149998128174214
"X2019.02.27",0.0980412640537784
"X2019.02.27.1",0.00890945603638323
"X2019.02.27.2",0.0131119797890759
"X2019.02.27.3",0.0187943446204541
"X2019.02.27.4",0.0588105716513555
"X2019.02.27.5",0.00277372587046994
"X2019.02.27.6",0.00480958177666251
"X2019.02.27.7",0.00140653625819852
"X2019.02.27.8",0.00208414872680592
"X2019.02.27.9",0.00411439709696352
"X2019.02.27.10",0.016907890086767
"X2019.02.27.11",0.00600608565999977
"X2019.02.27.12",0.00332282193438224
"X2019.02.27.13",0.00274518936448628
"X2019.02.27.14",0.00602530824072584
"X2019.02.27.15",0.00679517246345924
"X2019.02.27.16",0.008727374874375
"X2019.02.27.17",0.0128431058445781
"X2019.02.27.18",0.00887676876471425
"X2019.02.27.19",0.00606021826494373
"X2019.02.27.20",0.00131172415388912
"X2019.02.27.21",0.0048034938395176
"X2019.02.27.22",0.0245226122573492
"X2019.02.27.23",0.0340977976920213
"X2019.02.28",0.0107886222799329
"X2019.02.28.1",0.0047104200344633
"X2019.02.28.2",0.00072849310339044
"X2019.02.28.3",0.00208805739638008
"X2019.02.28.4",0.012221414061532
"X2019.02.28.5",0.0332836563964616
"X2019.02.28.6",0.0503468401279993
"X2019.02.28.7",0.00211450367481193
"X2019.02.28.8",0.0206027567929225
"X2019.02.28.9",0.0170670232900805
"X2019.02.28.10",0.000735313957476922
"X2019.02.28.11",0.00485263773701164
"X2019.02.28.12",0.00415764211025463
"X2019.02.28.13",0.00278337270309298
"X2019.02.28.14",0.00474105568205225
"X2019.02.28.15",0.0102972626255194
"X2019.02.28.16",0.0232548314968637
"X2019.02.28.17",0.00555412135123527
"X2019.02.28.18",0.0103336367797825
"X2019.02.28.19",0.00483101286177066
"X2019.02.28.20",0.00405095839763067
"X2019.02.28.21",0.006801252875738
"X2019.02.28.22",0.0232462131517439
"X2019.02.28.23",0.0183532630825418
"X2019.03.01",0.0259007753167836
"X2019.03.01.1",0.0162155346590431
"X2019.03.01.2",0.0134276381296111
"X2019.03.01.3",0.00730028581513919
"X2019.03.01.4",0.0200294582858145
"X2019.03.01.5",0.00600602901175772
"X2019.03.01.6",0.00989119308518709
"X2019.03.01.7",0.0086647579676356
"X2019.03.01.8",0.0125573939501703
