unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1618704000,18/4/2021 0:00,BCH/USD,990.98,1016.64,979.29,980.47,640.0697512,627569.1889
1618700400,17/4/2021 23:00,BCH/USD,1040.73,1044.46,988.6,993.41,3152.636248,3131860.375
1618696800,17/4/2021 22:00,BCH/USD,1049.71,1067.05,1036.85,1040.44,538.3947769,560167.4616
1618693200,17/4/2021 21:00,BCH/USD,1053.04,1067.05,1042.45,1050.15,359.6376631,377673.4919
1618689600,17/4/2021 20:00,BCH/USD,1041.12,1063,1032.42,1054.32,421.3875958,444277.37
1618686000,17/4/2021 19:00,BCH/USD,1041.67,1049.21,1023.21,1040.01,269.1053821,279872.2885
1618682400,17/4/2021 18:00,BCH/USD,997.46,1044.57,995,1038.1,925.6706331,960938.6842
1618678800,17/4/2021 17:00,BCH/USD,1038.28,1041.94,997.62,998.9,2870.285476,2867128.162
1618675200,17/4/2021 16:00,BCH/USD,1040.63,1064.55,1010.99,1038.12,3822.659358,3968379.133
1618671600,17/4/2021 15:00,BCH/USD,1072.18,1074.62,1020.01,1040.8,2238.993895,2330344.846
1618668000,17/4/2021 14:00,BCH/USD,1098.04,1111.91,1064.68,1073.11,1277.769112,1371186.812
1618664400,17/4/2021 13:00,BCH/USD,1117.92,1123.34,1083.25,1098.76,904.9120877,994281.2055
1618660800,17/4/2021 12:00,BCH/USD,1104.65,1135.79,1086.98,1114.91,1001.403545,1116474.826
1618657200,17/4/2021 11:00,BCH/USD,1111.46,1122.05,1068.73,1107.33,1478.301721,1636967.845
1618653600,17/4/2021 10:00,BCH/USD,1128.41,1142,1101.16,1110.81,670.9165072,745260.7654
1618650000,17/4/2021 9:00,BCH/USD,1169.32,1185.83,1112.27,1126.36,916.5800384,1032399.092
1618646400,17/4/2021 8:00,BCH/USD,1183.35,1197.51,1164.36,1167.03,898.9292516,1049077.404
1618642800,17/4/2021 7:00,BCH/USD,1201.2,1211.55,1150,1183.6,2072.4207,2452917.141
1618639200,17/4/2021 6:00,BCH/USD,1142.92,1217.95,1129.5,1199.32,2017.312702,2419403.47
1618635600,17/4/2021 5:00,BCH/USD,1132.83,1172.7,1127.24,1140,990.5658215,1129245.037
1618632000,17/4/2021 4:00,BCH/USD,1139.76,1143.12,1106.03,1135.73,766.7295536,870797.756
1618628400,17/4/2021 3:00,BCH/USD,1152.82,1155.23,1121.22,1135.36,779.7302171,885274.4993
1618624800,17/4/2021 2:00,BCH/USD,1156.57,1177.2,1122.76,1160.12,1140.161271,1322723.893
1618621200,17/4/2021 1:00,BCH/USD,1098.91,1154.06,1098.91,1154.06,2443.278119,2819689.545
1618617600,17/4/2021 0:00,BCH/USD,1105.15,1150.98,1076.44,1098.1,3385.107301,3717186.327
1618614000,16/4/2021 23:00,BCH/USD,1118.96,1173.38,1102,1105.03,6705.577662,7409864.484
1618610400,16/4/2021 22:00,BCH/USD,1074.33,1122,1062.29,1120.9,1488.445065,1668398.073
1618606800,16/4/2021 21:00,BCH/USD,1063.75,1100,1063.75,1076.2,2658.687564,2861279.556
1618603200,16/4/2021 20:00,BCH/USD,1044.33,1076.75,1028.62,1061.05,1190.716697,1263409.951
1618599600,16/4/2021 19:00,BCH/USD,1083.96,1084.66,1011.43,1044.29,1937.136899,2022932.692
1618596000,16/4/2021 18:00,BCH/USD,1076.7,1099.53,1048.35,1083.69,2615.221035,2834088.884
1618592400,16/4/2021 17:00,BCH/USD,1095,1176.4,1067.72,1077.78,4967.237458,5353589.187
1618588800,16/4/2021 16:00,BCH/USD,1003.19,1106.24,984.04,1094.9,6909.413778,7565117.145
1618585200,16/4/2021 15:00,BCH/USD,876.92,1026.03,876.35,1003.32,3740.009256,3752426.087
1618581600,16/4/2021 14:00,BCH/USD,833.12,881.72,831.58,878.43,1068.444605,938553.7941
1618578000,16/4/2021 13:00,BCH/USD,878.99,888.49,818,833.5,2529.062932,2107973.954
1618574400,16/4/2021 12:00,BCH/USD,894.75,904.82,880.35,881.24,1068.712002,941791.7642
1618570800,16/4/2021 11:00,BCH/USD,875.02,896.62,846.43,895.63,3167.812051,2837187.507
1618567200,16/4/2021 10:00,BCH/USD,898.12,910,875.02,875.85,796.3264913,697462.5574
1618563600,16/4/2021 9:00,BCH/USD,918.23,921.09,885.95,898.56,1123.562167,1009588.021
1618560000,16/4/2021 8:00,BCH/USD,912.34,930.5,904.07,923.2,3596.098062,3319917.73
1618556400,16/4/2021 7:00,BCH/USD,911.82,918.79,883.53,911.54,1309.706096,1193849.494
1618552800,16/4/2021 6:00,BCH/USD,925.94,925.94,896.99,910.95,1633.580047,1488109.744
1618549200,16/4/2021 5:00,BCH/USD,900.59,935.54,893.57,929.35,1922.460968,1786639.101
1618545600,16/4/2021 4:00,BCH/USD,957.96,957.96,902.65,903.49,1436.876936,1298203.942
1618542000,16/4/2021 3:00,BCH/USD,909.28,967.64,908.9,957.15,2946.328611,2820078.43
1618538400,16/4/2021 2:00,BCH/USD,915.95,921.06,900.14,908.72,1224.054395,1112322.71
1618534800,16/4/2021 1:00,BCH/USD,893.71,927.75,892.56,915.95,3315.304089,3036652.78
1618531200,16/4/2021 0:00,BCH/USD,867.13,893.31,867.13,890.28,1610.66203,1433940.192
1618527600,15/4/2021 23:00,BCH/USD,869.14,874.14,862.53,868.45,727.0218031,631382.0849
