unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1618704000,18/4/2021 0:00,ETH/USD,2317.12,2341.68,2308,2308,7994.00219,18450157.05
1618700400,17/4/2021 23:00,ETH/USD,2379.32,2386.32,2312.87,2317.11,8576.584984,19872890.83
1618696800,17/4/2021 22:00,ETH/USD,2391.64,2396.89,2367.85,2380.2,769.414636,1831360.717
1618693200,17/4/2021 21:00,ETH/USD,2391,2397.04,2381.6,2390.39,1394.045848,3332313.254
1618689600,17/4/2021 20:00,ETH/USD,2380.21,2392.98,2372.76,2392.29,761.8977454,1822680.357
1618686000,17/4/2021 19:00,ETH/USD,2365.4,2388.38,2365.4,2380.74,1143.905461,2723341.488
1618682400,17/4/2021 18:00,ETH/USD,2328.96,2377.53,2319.31,2364.47,2212.205428,5230693.367
1618678800,17/4/2021 17:00,ETH/USD,2353.69,2372.83,2326.52,2326.52,1271.810184,2958891.829
1618675200,17/4/2021 16:00,ETH/USD,2345.44,2370.28,2316.96,2353.84,2661.838165,6265541.147
1618671600,17/4/2021 15:00,ETH/USD,2385.61,2387.8,2332.36,2351.05,2139.743898,5030644.891
1618668000,17/4/2021 14:00,ETH/USD,2406.32,2421.22,2382.36,2387.87,748.7625363,1787947.598
1618664400,17/4/2021 13:00,ETH/USD,2413.74,2414.63,2374.87,2407.49,1177.364476,2834493.202
1618660800,17/4/2021 12:00,ETH/USD,2409.17,2419.11,2389.35,2413.99,984.0715849,2375538.965
1618657200,17/4/2021 11:00,ETH/USD,2420.36,2431.25,2393.41,2410.44,1182.583829,2850547.365
1618653600,17/4/2021 10:00,ETH/USD,2436.34,2444.3,2412.24,2420.21,984.8772352,2383609.734
1618650000,17/4/2021 9:00,ETH/USD,2470.21,2472.11,2421.9,2435.32,1535.773979,3740101.087
1618646400,17/4/2021 8:00,ETH/USD,2464.55,2477.9,2463.94,2469.46,700.7094731,1730374.016
1618642800,17/4/2021 7:00,ETH/USD,2472.28,2477.94,2454.5,2463.69,1251.907911,3084313.002
