unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1618704000,18/4/2021 0:00,LTC/USD,302.51,305.28,296.13,296.45,2052.377638,608427.3509
1618700400,17/4/2021 23:00,LTC/USD,311.86,313.59,300.03,301.86,7235.641894,2184150.862
1618696800,17/4/2021 22:00,LTC/USD,314.96,318.45,310.05,312,12621.1047,3937784.665
1618693200,17/4/2021 21:00,LTC/USD,313.65,322.25,312.43,314.95,2749.994056,866110.6278
1618689600,17/4/2021 20:00,LTC/USD,312.86,315.45,309.66,313.73,7317.689325,2295778.672
1618686000,17/4/2021 19:00,LTC/USD,309.64,314.08,309.24,312.37,3853.787034,1203807.456
1618682400,17/4/2021 18:00,LTC/USD,301.71,313.86,300.14,308.54,14690.52491,4532614.556
1618678800,17/4/2021 17:00,LTC/USD,311.45,316.11,302.17,302.68,2806.589939,849498.6429
1618675200,17/4/2021 16:00,LTC/USD,306.25,315.14,297.54,311.16,18134.41597,5642704.873
1618671600,17/4/2021 15:00,LTC/USD,314.38,315.08,303.55,307.34,4455.011526,1369203.242
1618668000,17/4/2021 14:00,LTC/USD,323.55,327.1,315.17,316.31,2717.295597,859507.7702
1618664400,17/4/2021 13:00,LTC/USD,319.76,329.61,314.57,324.52,4747.046596,1540511.561
1618660800,17/4/2021 12:00,LTC/USD,309.1,320.02,306.21,320.02,12749.9552,4080240.663
1618657200,17/4/2021 11:00,LTC/USD,313.95,316,305.27,310.85,12216.16507,3797394.912
1618653600,17/4/2021 10:00,LTC/USD,318.57,321.79,312,314.89,2288.13847,720511.9227
1618650000,17/4/2021 9:00,LTC/USD,331.97,335.79,315.65,317.83,2518.309578,800394.3332
1618646400,17/4/2021 8:00,LTC/USD,328.49,332.79,325.5,330.62,2171.332185,717885.847
1618642800,17/4/2021 7:00,LTC/USD,324.54,329.85,323.4,328.23,7974.574087,2617494.453
1618639200,17/4/2021 6:00,LTC/USD,325.67,327.88,322.6,324.33,4304.811301,1396179.449
1618635600,17/4/2021 5:00,LTC/USD,321.99,328.02,320.29,325.34,4151.798113,1350745.998
1618632000,17/4/2021 4:00,LTC/USD,324.91,325.19,319.45,322.77,1504.831536,485714.475
1618628400,17/4/2021 3:00,LTC/USD,330.31,330.31,320.75,324.24,2135.779932,692505.2851
1618624800,17/4/2021 2:00,LTC/USD,325.22,334.48,322.77,329.58,3816.47593,1257834.137
1618621200,17/4/2021 1:00,LTC/USD,323.24,326.19,319.76,324.35,4756.683109,1542830.166
1618617600,17/4/2021 0:00,LTC/USD,309.79,330.86,309.75,322.66,8693.843561,2805155.563
1618614000,16/4/2021 23:00,LTC/USD,306.48,315.92,306.48,309.05,3796.371206,1173268.521
1618610400,16/4/2021 22:00,LTC/USD,311.35,312.09,305.75,306.65,2219.245083,680531.5048
1618606800,16/4/2021 21:00,LTC/USD,309.34,313.09,307.63,309.95,2351.352958,728801.8493
1618603200,16/4/2021 20:00,LTC/USD,312.32,314.97,308.75,308.75,2681.916256,828041.6442
1618599600,16/4/2021 19:00,LTC/USD,309.01,314.92,301.79,312.13,3139.475118,979924.3687
1618596000,16/4/2021 18:00,LTC/USD,305.03,310,302.39,308.71,3619.988191,1117526.555
1618592400,16/4/2021 17:00,LTC/USD,311.65,317.46,303.36,303.81,12348.26813,3751527.341
1618588800,16/4/2021 16:00,LTC/USD,299.75,315.26,299.02,311,23897.98188,7432272.365
1618585200,16/4/2021 15:00,LTC/USD,278.03,300,277.69,299.77,18007.88243,5398222.916
1618581600,16/4/2021 14:00,LTC/USD,269.09,279,269.06,278.03,7060.71,1963089.201
1618578000,16/4/2021 13:00,LTC/USD,275.39,280.52,265,269.81,26446.59728,7135556.411
1618574400,16/4/2021 12:00,LTC/USD,277.98,280.49,275.51,276.6,4288.674088,1186247.253
1618570800,16/4/2021 11:00,LTC/USD,272.79,278.27,268.8,278.27,5372.269905,1494941.546
1618567200,16/4/2021 10:00,LTC/USD,278.24,281.11,272.13,273.1,10691.96402,2919975.375
1618563600,16/4/2021 9:00,LTC/USD,284.02,284.36,275.28,278.32,5448.991102,1516563.203
1618560000,16/4/2021 8:00,LTC/USD,288.02,289.89,284.18,284.24,3470.000577,986312.964
1618556400,16/4/2021 7:00,LTC/USD,286.42,289.01,282.15,287.7,2636.621527,758556.0132
1618552800,16/4/2021 6:00,LTC/USD,288.72,289.13,282,285.93,3498.895207,1000439.106
1618549200,16/4/2021 5:00,LTC/USD,281.72,290.56,280.45,289.2,4755.06469,1375164.708
1618545600,16/4/2021 4:00,LTC/USD,295.13,295.22,281.73,281.73,3937.786113,1109392.482
1618542000,16/4/2021 3:00,LTC/USD,293,297.11,290.1,295.3,6681.829215,1973144.167
1618538400,16/4/2021 2:00,LTC/USD,285.14,294.21,284.51,291.05,2085.252524,606912.7471
1618534800,16/4/2021 1:00,LTC/USD,287.74,292.93,279.68,284.75,2878.873049,819759.1008
1618531200,16/4/2021 0:00,LTC/USD,286.23,289.04,285.31,287.09,1284.703613,368825.5602
1618527600,15/4/2021 23:00,LTC/USD,290.02,291.23,286.21,286.89,3255.561781,933988.1193
1618524000,15/4/2021 22:00,LTC/USD,283.99,290.52,283.96,290.03,4177.543539,1211612.952
1618520400,15/4/2021 21:00,LTC/USD,287.4,287.4,283.74,285.29,1754.055948,500414.6215
1618516800,15/4/2021 20:00,LTC/USD,287.28,288.76,284.17,287.4,4978.75678,1430894.699
1618513200,15/4/2021 19:00,LTC/USD,279.85,288.56,279.26,286.91,8254.55512,2368314.409
1618509600,15/4/2021 18:00,LTC/USD,278.63,282,276.95,280.36,1502.714209,421300.9555
1618506000,15/4/2021 17:00,LTC/USD,279.17,279.79,275.81,278.98,1947.358777,543274.1516
1618502400,15/4/2021 16:00,LTC/USD,281.41,284.74,278.47,278.51,9224.131466,2569012.854
1618498800,15/4/2021 15:00,LTC/USD,274.82,281.08,273.46,281.08,3417.685485,960643.0361
1618495200,15/4/2021 14:00,LTC/USD,273.14,276.98,272.47,274.93,3134.521606,861774.0251
1618491600,15/4/2021 13:00,LTC/USD,271.18,275.25,271.18,273.42,2136.786935,584240.2839
1618488000,15/4/2021 12:00,LTC/USD,270.49,272.15,270.2,270.9,1400.684531,379445.4395
1618484400,15/4/2021 11:00,LTC/USD,267.26,271.37,266.03,270.72,1852.414426,501485.6333
1618480800,15/4/2021 10:00,LTC/USD,272.99,273.6,266.21,266.21,1080.844491,287731.6119
1618477200,15/4/2021 9:00,LTC/USD,271.88,272.99,268.55,272.66,973.9763874,265564.4018
1618473600,15/4/2021 8:00,LTC/USD,273.73,277.14,270.99,272.07,1564.154894,425559.6219
1618470000,15/4/2021 7:00,LTC/USD,274,277.38,273.61,273.91,976.2635502,267408.349
1618466400,15/4/2021 6:00,LTC/USD,275.09,276.1,273,273.47,1042.698823,285146.8472
1618462800,15/4/2021 5:00,LTC/USD,274.33,275.49,271.62,274.37,1265.067521,347096.5759
1618459200,15/4/2021 4:00,LTC/USD,278.73,279.34,273.77,274.35,816.8571846,224104.7686
1618455600,15/4/2021 3:00,LTC/USD,273.61,278.49,271.62,278.49,2993.077545,833542.1656
1618452000,15/4/2021 2:00,LTC/USD,274.23,275.43,271.08,273.37,1000.576097,273527.4877
1618448400,15/4/2021 1:00,LTC/USD,274.9,275.68,271.59,273.17,1513.338734,413398.742
1618444800,15/4/2021 0:00,LTC/USD,279.8,282.72,272.95,272.95,1216.789724,332122.7551
