unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1618704000,18/4/2021 0:00,XRP/USD,1.5414,1.5638,1.522,1.522,953812.6247,1451702.815
1618700400,17/4/2021 23:00,XRP/USD,1.57502,1.58473,1.53293,1.5402,1685852.579,2596550.142
1618696800,17/4/2021 22:00,XRP/USD,1.59009,1.59186,1.56682,1.57605,1000910.099,1577484.362
1618693200,17/4/2021 21:00,XRP/USD,1.6076,1.6076,1.58489,1.59415,696502.8663,1110330.044
1618689600,17/4/2021 20:00,XRP/USD,1.57814,1.6076,1.572,1.6076,1207046.309,1940447.647
1618686000,17/4/2021 19:00,XRP/USD,1.585,1.60717,1.56792,1.57618,1478175.553,2329870.743
1618682400,17/4/2021 18:00,XRP/USD,1.54301,1.59027,1.53729,1.58628,2027922.2,3216852.427
1618678800,17/4/2021 17:00,XRP/USD,1.57347,1.59335,1.54256,1.54385,2327309.82,3593017.266
1618675200,17/4/2021 16:00,XRP/USD,1.57261,1.60268,1.52117,1.57173,3696064.151,5809214.907
1618671600,17/4/2021 15:00,XRP/USD,1.62296,1.6233,1.5533,1.5728,4151761.743,6529890.87
1618668000,17/4/2021 14:00,XRP/USD,1.62847,1.65064,1.61417,1.62436,1309529.114,2127146.712
1618664400,17/4/2021 13:00,XRP/USD,1.62122,1.6429,1.58048,1.62642,1703897.091,2771252.307
1618660800,17/4/2021 12:00,XRP/USD,1.59769,1.62959,1.57315,1.62206,2466320.332,4000519.558
1618657200,17/4/2021 11:00,XRP/USD,1.65136,1.65774,1.56484,1.59857,4435387.637,7090277.614
1618653600,17/4/2021 10:00,XRP/USD,1.64638,1.66591,1.61301,1.6534,2259586.085,3735999.632
1618650000,17/4/2021 9:00,XRP/USD,1.6945,1.69922,1.62203,1.64133,2231112.382,3661991.686
1618646400,17/4/2021 8:00,XRP/USD,1.71158,1.73495,1.66831,1.69272,12583557.4,21300439.28
1618642800,17/4/2021 7:00,XRP/USD,1.67711,1.74463,1.67711,1.7074,4474419.998,7639624.705
